NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information,Project Start Date,Project End Date,Study Section,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
Bioengineering;Biotechnology;Diabetes;Genetics;Human Genome;Nutrition;Obesity,Anatomy;Applications Grants;base;Basic Science;bioimaging;Bioinformatics;Biological;Biomedical Research;Categories;Cellular biology;Centers of Research Excellence;ChIP-seq;Clinical;Clinical Research;Collaborations;Communities;Complex;Computer software;cost effective;Counseling;Custom;Data Analyses;Data Analytics;data quality;Data Set;Diabetes Mellitus;Environment;epigenome;epigenomics;Equipment;Excision;Experimental Designs;experimental study;Extramural Activities;falls;functional genomics;Funding;Gene Expression;Gene Expression Profiling;Generations;genetic analysis;Genetic Models;genome-wide;Genomic approach;genomic data;Genomics;Histologic;Incidence;Individual;interest;Knowledge;Laboratories;laser capture microdissection;Louisiana;Measurement;Mentors;Metabolic syndrome;Methods;Modernization;Molecular;next generation;next generation sequencing;Non-Insulin-Dependent Diabetes Mellitus;Nucleic Acids;Obesity;Overweight;Pathology;Population;Preparation;Procedures;Productivity;programs;Public Health;Publications;Quality Control;Research;Research Activity;Research Personnel;Research Project Grants;Resources;Robotics;Sampling;Services;Source;synergism;Systems Biology;Techniques;Technology;tool;Transgenic Organisms;Translational Research;,Genomics Core,n/a,NIGMS,9741726,15-Jul-2019,PAR-14-178,5P30GM118430-04,5,P30,GM,118430,4,,Unavailable,,,Special Emphasis Panel (ZGM1-RCB-3),8374,7031078,"SALBAUM, J MICHAEL",Not Applicable,6,Unavailable,611012324,US,30.404354,-91.122411,577909,LSU PENNINGTON BIOMEDICAL RESEARCH CTR,BATON ROUGE,LA,Domestic Higher Education,70808-4124,UNITED STATES,,1-Aug-2019,31-Jul-2020,,Research Centers,2019,,123045,59062,,182107
No NIH Category available.,Affinity;Affinity Chromatography;Agreement;Antibodies;Antineoplastic Agents;assay development;Automation;Bacteria;Baculoviruses;base;Basic Cancer Research;Biochemical;Biochemistry;Biological;Biological Assay;Budgets;Cancer Center;Cancer Research Project;Cells;clinical practice;Clinical Trials;Collaborations;Collection;Complementary DNA;Complex;computer infrastructure;CRISPR/Cas technology;Crystallization;Custom;Data;data integration;Data Set;density;design;Development;Dissection;Doctor of Philosophy;drug development;drug discovery;Engineering;Environment;Epigenetic Process;Equipment;Escherichia coli;experience;Experimental Designs;Fostering;Funding;Gene Targeting;Genes;Genome;Glycerol;Grant;high throughput screening;Image;Immunization;Industry;inhibitor/antagonist;Insecta;Institutes;instrument;instrumentation;inter-institutional;Interdisciplinary Study;interest;Kinetics;Label;Laboratories;Lead;lead optimization;lead series;Libraries;Liquid substance;Mammalian Cell;member;Metabolism;Miniaturization;Molecular;Molecular Biology;Mus;Nucleic Acids;oncology;Oryctolagus cuniculus;Pharmaceutical Preparations;Phase;Philadelphia;plasmid DNA;Production;programs;protein expression;protein function;Proteins;Protocols documentation;PTPRC gene;Publications;quality assurance;Reader;Reagent;Recombinant DNA;Recombinant Proteins;Recombinants;Reporting;Research;Research Personnel;Resource Sharing;Retroviridae;Robotics;screening;Services;Signal Pathway;Slide;small hairpin RNA;small molecule;small molecule libraries;Specificity;Structure;Structure-Activity Relationship;Subfamily lentivirinae;System;Technology;Therapeutic;therapeutic candidate;therapeutic target;Thermodynamics;Time;tool;Training;transcription activator-like effector nucleases;Translations;tumor;United States National Institutes of Health;Validation;validation studies;vector;Work;,Molecular Screening and Protein Expression Shared Resource,n/a,NCI,9917711,15-Apr-2020,PAR-17-095,5P30CA010815-51,5,P30,CA,10815,51,,Unavailable,,,Subcommittee A - Cancer Centers (NCI-A) ,7328,9880106,"SALVINO, JOSEPH M",Not Applicable,3,Unavailable,75524595,US,39.950872,-75.195321,9340401,WISTAR INSTITUTE,PHILADELPHIA,PA,Research Institutes,19104-4265,UNITED STATES,,1-Mar-2020,28-Feb-2021,,Research Centers,2020,,107363,85238,,192601
No NIH Category available.,accurate diagnosis;Address;Age;Algorithms;Alternative Splicing;analysis pipeline;anticancer research;Area;Awareness;base;Bioinformatics;Biological;Cancer Center;Cancer Center Support Grant;Cells;Chemistry;ChIP-seq;CLIA certified;Clinic;Collaborations;Collection;Communication;computer science;computerized data processing;Computers;Consult;cost;Cost Sharing;Custom;Data;Data Analyses;Data Set;data streams;Databases;Development;Devices;DNA Resequencing;DNA sequencing;Educational workshop;epigenome;Equipment;experience;Familiarity;Family;Feedback;Fostering;frontier;Funding;Future;Generations;Genes;Genetic;genetic counselor;genetic profiling;Genetic Screening;Genome;genomic data;Genomic medicine;Genomics;Goals;Grant;human DNA;Immunology;improved;Individual;instrument;interest;Investments;Label;Laboratories;Libraries;Malignant Neoplasms;Management Information Systems;Medical Students;Medicine;Methods;Microfluidics;Miniaturization;Mission;Mitochondrial DNA;NCI Center for Cancer Research;next generation sequencing;Pathology;Pathway interactions;Patients;personalized medicine;Play;Polyadenylation;Population Heterogeneity;Preparation;pressure;Process;Professional counselor;Research;Research Personnel;Resource Sharing;Resources;RNA;Robot;Robotics;Role;Sampling;Scientist;Sequence Analysis;Services;Side;single cell analysis;single cell sequencing;single molecule;Sorting - Cell Movement;Speed;System;Technology;technology development;Therapeutic;Third Generation Sequencing;Time;Training;Training Programs;transcription factor;transcriptome;Translating;tumor;Work;,Basic-Genomics High-Throughput Facility (GHTF),Core 005 - Narrative - Genomics High-Throughput Facility (GHTF) Per PAR-13-386; a Narrative is not required for this component.,NCI,9851358,3-Feb-2020,PAR-13-386,5P30CA062203-23,5,P30,CA,62203,23,,Unavailable,,,Subcommittee A - Cancer Centers (NCI-A) ,4038,1887814,"SANDMEYER, SUZANNE ",Not Applicable,45,Unavailable,46705849,US,33.678042,-117.773718,577504,UNIVERSITY OF CALIFORNIA-IRVINE,IRVINE,CA,Domestic Higher Education,92617-3213,UNITED STATES,,1-Feb-2020,31-Jan-2021,,Research Centers,2020,,71348,38885,,110233
No NIH Category available.,Address;Amputation;Amputees;Anatomy;Ankle;Arthritis;Award;base;Book Chapters;Cadaver;career;Caring;Clinical;Collaborations;comorbidity;Complex;Computer Models;Decision Making;Deformity;design;Development;Diabetes Mellitus;Diabetic Foot Ulcer;Disease;Doctor of Philosophy;Engineering;Ensure;Environment;epidemiology study;Evaluation;evidence base;experimental study;Extramural Activities;Flatfoot;Fluoroscopy;foot;Foot Deformities;functional outcomes;functional restoration;functional status;Funding;Gait;Generations;Goals;graduate student;Grant;Health Services;Impairment;improved;improved mobility;Informatics;Infrastructure;Injury;Institution;instrumentation;Internships;K-Series Research Career Programs;Laboratories;Lead;lectures;Limb structure;loss of function;Lower Extremity;Magnetic Resonance Imaging;Medical;Medical center;Medical Students;Mental Health;Mission;Modeling;novel;Orthopedics;Pain;Paper;Patients;Peer Review;Physical Medicine;Postdoctoral Fellow;prevent;Prevention;Process;Prosthesis;Prosthesis Design;Provider;psychologic;Psychology;Publishing;Quality of life;recruit;Rehabilitation Outcome;Rehabilitation Research;Rehabilitation therapy;Research;research and development;Research Assistant;research facility;Research Personnel;residual limb;restoration;Risk;Robotics;Scientist;simulation;Skin injury;social;social factors;square foot;symposium;Techniques;Technology;Therapeutic Intervention;Training Programs;Trauma;treatment strategy;undergraduate student;Universities;Veterans;Washington;Work;,Center for Limb Loss Prevention and Prosthetic Engineering,PROJECT NARRATIVE (RELEVANCE TO VETERANS)Our Center?s primary goal is to restore the function of veterans who have lower limb impairments related totrauma; disease; or deformity. To prevent loss of function; we aim to understand the causes of and expand thetreatment of painful conditions of the foot such as arthritis and flatfoot. Additionally; we will reduce the risk ofamputation by studying factors that contribute to diabetic foot ulcers. For veterans whose amputation cannot beprevented; we aim to optimize patient/provider amputation level decision-making. Through the generation ofnovel prosthetic designs; we will augment function by reducing residual limb skin injury; enhance the thermalenvironment of the socket; and improve amputee mobility over complex terrains and transitions. Finally;realizing that optimum rehabilitation includes psychological and social restoration; we will expand ourunderstanding of these complex interactions and subsequently evaluate and develop new treatment strategies.,VA,9787162,16-Oct-2019,RFA-RX-16-002,5I50RX002357-03,5,I50,VA,2357,3,,Unavailable,1-Oct-2017,30-Sep-2022,"Centers, Research Enhancement Award Program and Consortiums (RRDC) ",,8651438,"SANGEORZAN, BRUCE ",Not Applicable,9,Unavailable,20232971,US,47.563294,-122.312665,481094,VA PUGET SOUND HEALTHCARE SYSTEM,SEATTLE,WA,Independent Hospitals,98108-1532,UNITED STATES,,1-Oct-2019,30-Sep-2020,999,Research Centers,2020,,,,,
No NIH Category available.,adaptive robot;Address;age related;algorithm�development;Alzheimer's Disease;Alzheimer's disease related dementia;Animals;Applications Grants;Architecture;Assisted Living Facilities;base;care systems;Caregivers;Caring;Clinical;Clinical Trials;Cognitive;cognitive function;Crossover Design;Data;Dementia;design;Development;Discipline of Nursing;Disease;effective intervention;Elderly;Elements;Family;Family member;Focus Groups;Formal caregiver;Fostering;Frustration;Future;Goals;Grant;Health care facility;Human;Human Resources;Impaired cognition;Impairment;implementation trial;improved;Individual;informal caregiver;innovation;Intelligence;Intervention;Interview;Libraries;Long-Term Care;Long-Term Care Nursing;Mediating;Mediation;Medicare/Medicaid;Methods;mild cognitive impairment;Mission;mortality;Multi-Institutional Clinical Trial;multimodality;Nature;new technology;novel;novel strategies;Nursing Homes;Nursing Staff;Participant;Personal Satisfaction;Persons;Pharmacology;Phase;Physical Function;Prevalence;Procedures;Quality of Care;Quality of life;Randomized;Randomized Controlled Trials;Research;Resources;Robot;robotic system;Robotics;satisfaction;Science;Site;social;social assistive robot;Social Functioning;Social intelligence;Social Interaction;Social isolation;software development;Stress;System;Technology;Testing;Time;treatment as usual;Trust;United States Centers for Medicare and Medicaid Services;user centered design;usual care arm;virtual;virtual environment;Work;,Impact of a Novel Socially Assistive Robotic Architecture on Engaging Older Adults with Mild Cognitive Impairment; Alzheimer's Disease; and Related Dementia in Long Term   Care Settings,Project NarrativeAs an increasing number of older adults are suffering from Mild Cognitive Impairment (MCI); Alzheimer's disease(AD) and AD-related dementias (ADRD); providing them with quality care in long term care (LTC) facilities isbecoming problematic due to resource limitations; nursing shortage and high turnover among LTC nursingpersonnel. A novel approach to utilize socially assistive robotic systems that can meaningfully engage this groupof older adults through physical; cognitive and social activities is proposed in the hope that such smart technologywill be able to augment; and not replace; the current system of care. This study will contribute to the developmentof improved intelligent technology as an effective approach to engage older persons with dementia with the long-term goal of enhancing their function and quality of life as well as improving LTC staff satisfaction.,NIA,9972542,10-Apr-2020,PA-19-055,1R01AG062685-01A1,1,R01,AG,62685,1,A1,"BHATTACHARYYA, PARTHA",1-May-2020,31-Jan-2025,Nursing and Related Clinical Sciences Study Section (NRCS) ,,8144912,"SARKAR, NILANJAN  ","MION, LORRAINE C",5,ENGINEERING (ALL TYPES),965717143,US,36.140134,-86.796274,8721001,VANDERBILT UNIVERSITY,Nashville,TN,SCHOOLS OF ENGINEERING,37203,UNITED STATES,,1-May-2020,31-Jan-2021,866,Research Projects,2020,NIA,469444,164309,633753,
Autism;Behavioral and Social Science;Bioengineering;Brain Disorders;Clinical Research;Intellectual and Developmental Disabilities (IDD);Mental Health;Pediatric;Prevention,Age;Architecture;Area;Attention;autism spectrum disorder;Autistic Disorder;base;Behavior;Behavior Therapy;Caring;Centers for Disease Control and Prevention (U.S.);Child;Client satisfaction;Computers;Control Groups;cost;Data;Decision Making;design;Detection;Development;Dimensions;Disease;E-learning;Early identification;Early Intervention;Early treatment;educational atmosphere;Environment;Etiology;Event;evidence base;experimental study;Expert Systems;Eye;Family;gaze;Goals;Human;improved;Individual;innovation;Intervention;joint attention;Learning;Literature;Longevity;Mediating;Methodology;Modality;Monitor;Motion;Movement;Neurodevelopmental Deficit;new technology;Non-Invasive Cancer Detection;novel;operation;orientation selectivity;Outcome;Performance;Phase;Pilot Projects;pilot trial;Population;Prevalence;Process;Protocols documentation;public health emergency;public health relevance;Reaction;recruit;Research;Resources;response;Robot;Robotics;Sampling;Science;Services;skills;social;social communication;success;Symptoms;System;system architecture;Technology;Testing;Time;tool;United States;United States National Institutes of Health;Validation;virtual reality;,NIH R21/R33: Transformative Co-Robotic Technology for Autism Intervention,PUBLIC HEALTH RELEVANCE: The project will develop; apply; and via initial pilot study examine the feasibility of a novel adaptive robotic technology as a potential intervention tool foryoung children with Autism Spectrum Disorders (ASD). The proposed robotic system is designed as an 'intelligent' system that automatically adjusts intervention tasks based on information about where the child is looking (e.g.; non-invasive eye gaze) in order to enhance performance on tasks of early social orienting. It is believed that the successful development and application of this new technology has the potential to accelerate movement towards accessible; personalized; targeted robot-based ASD intervention of relevance to the core neurodevelopmental deficits of the disorder.,NIMH,9460558,19-Mar-2018,PAR-11-177,5R33MH103518-05,5,R33,MH,103518,5,,"GILOTTY, LISA",1-Apr-2014,31-Mar-2021,Special Emphasis Panel (ZMH1-ERB-D (01)),,8144912,"SARKAR, NILANJAN ",Not Applicable,5,ENGINEERING (ALL TYPES),965717143,US,36.140134,-86.796274,8721001,VANDERBILT UNIVERSITY,Nashville,TN,SCHOOLS OF ENGINEERING,37203,UNITED STATES,,1-Apr-2018,31-Mar-2021,242,Research Projects,2018,NIMH,169745,89007,258752,
Bioengineering;Biotechnology,Architecture;arm;Automation;Basic Science;Biological;Biological Assay;Buffers;Cells;Communities;Computer software;design;Detection;Devices;drug discovery;end of life;Ensure;faculty research;Florida;Funding;Future;instrument;Interruption;loss of function;Molecular;Operating System;operation;programs;Proteins;Reagent;Research;Research Institute;Robotics;screening;Services;System;Technology;Time;Translational Research;United States National Institutes of Health;Vendor;Work;,HTS Drug� Discovery Dispensers,PROJECT NARRATIVE:Fully automated High Throughput Screening (HTS) uses robotics to test very large and diversecompound libraries for the discovery of novel chemical modulators that serve as the base foradvancing new drugs. HTS robotics is an assembly of multiple instrumental components; i.e.dispensers; incubators; plate readers; and robotic arm that must work in concert with one another tocomplete a drug discovery campaign. Requested are replacement dispensers that automate the bulkreagent dispensation into assay plates since the present units are obsolete having reached ?End ofLife? service from the OEM vendor.,OD,9708364,30-Jul-2019,PAR-18-600,1S10OD026857-01,1,S10,OD,26857,1,,"HORSKA, ALENA",1-Aug-2019,31-Jan-2021,Special Emphasis Panel (ZRG1-IMST-D (30)I),,8744831,"SCAMPAVIA, LOUIS DANIEL",Not Applicable,18,Unavailable,148230662,US,26.933813,-80.128954,10005569,SCRIPPS FLORIDA,JUPITER,FL,Research Institutes,33458-5284,UNITED STATES,,1-Aug-2019,31-Jan-2021,351,Other Research-Related,2019,OD,452106,,452106,
No NIH Category available.,"Achievement;Address;Adoption;Affinity;Analytical Chemistry;Attention;Automobile Driving;biocomputing;Biological;Charge;Chemicals;Chemistry;Clinical;Collaborations;Communicable Diseases;Communities;Complex;Computational algorithm;Consumption;Data;Data Analyses;design;Detection;Development;Devices;Diabetes Mellitus;Digestion;Discipline;Disease;Ensure;Enzymes;Equipment;Eye diseases;Faculty;Formalin;Fractionation;Freezing;Funding;Gases;Glycopeptides;Health;Histopathology;Human;Hydrogels;hydrophilicity;Hydrophobicity;Image;Image Enhancement;image reconstruction;imaging capabilities;imaging informatics;improved;Individual;Informatics;instrument;instrumentation;Ions;Laboratories;large datasets;lectures;Lipids;Location;Malignant Neoplasms;mass spectrometer;Mass Spectrum Analysis;Measurement;Measures;medical schools;medical specialties;Membrane Proteins;Methodology;Methods;Microscopy;Modality;Molecular;Nature;next generation;novel;Outcomes Research;Pattern;Peptide Hydrolases;Peptides;Performance;Phase;Phosphopeptides;Preparation;preservation;Process;Program Development;Proteins;Protocols documentation;Publications;Reagent;Research;Research Personnel;Research Project Grants;Resolution;Resources;Robotics;Sampling;Scientist;Sensitivity and Specificity;Site;Slide;software development;Space Perception;Specificity;Specimen;Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization;Students;submicron;Surface;Technology;technology research and development;Time;Tissue imaging;tissue preparation;Tissue Sample;Tissues;titanium dioxide;tool;Training;Trypsin;United States National Institutes of Health;Universities;Visit;",Advanced Sample Preparation Approaches for High Sensitivity and Specificity IMS (pp  371-412),n/a,NIGMS,9842536,3-Feb-2020,PAR-14-021,5P41GM103391-10,5,P41,GM,103391,10,,Unavailable,,,Special Emphasis Panel (ZRG1-IMST-L),8141,1901713,"SCHEY, KEVIN L",Not Applicable,5,Unavailable,965717143,US,36.140134,-86.796274,8721001,VANDERBILT UNIVERSITY,Nashville,TN,Domestic Higher Education,37203,UNITED STATES,,1-Jan-2020,31-Dec-2020,,Research Centers,2020,,168825,89614,,258439
No NIH Category available.,Age;age related;Aging;Area;Baculoviruses;base;Biochemical;Biocompatible Materials;Biological Assay;Biology;biophysical properties;cDNA Expression;Cell Aging;Cell Culture Techniques;Cell physiology;Cells;cellular targeting;Chromatin;chromatin remodeling;Clustered Regularly Interspaced Short Palindromic Repeats;Complementary DNA;Complex;cost;CRISPR/Cas technology;Custom;design;Development;Diploidy;Disease;DNA-Binding Proteins;Economics;Ectopic Expression;Engineering;Ensure;Enzymes;Epigenetic Process;epigenome;experience;experimental study;Fibroblasts;Funding;Gene Library;Genes;Genetic Engineering;genetic manipulation;Goals;high throughput screening;Histones;HMGB2 gene;Human;In Vitro;Individual;Infrastructure;inhibitor/antagonist;innovation;Insecta;Knowledge;Label;Laboratories;Laboratory Research;Libraries;Liquid substance;member;miniaturize;Modeling;Molecular Chaperones;Multiprotein Complexes;novel therapeutics;Outcome;Pathology;Phenotype;Positioning Attribute;Preparation;preservation;Primary Cell Cultures;Process;Production;programs;protein complex;protein expression;protein function;protein purification;Proteins;Protocols documentation;Reader;Reagent;Recombinant Proteins;Recombinants;Research;Research Activity;Research Personnel;Research Project Grants;Research Support;Resources;Robotics;Role;screening;senescence;Services;Signal Pathway;small hairpin RNA;Small Interfering RNA;small molecule;small molecule inhibitor;small molecule libraries;Structure;Subfamily lentivirinae;success;Testing;Time;Tissues;tool;Training;Variant;Viral Vector;,Core B: High-Throughput Biology,n/a,NIA,9950962,29-May-2020,PAR-16-358,5P01AG031862-13,5,P01,AG,31862,13,,Unavailable,,,Special Emphasis Panel (ZAG1-ZIJ-1),8865,2241267,"SCHULTZ, DAVID C",Not Applicable,3,Unavailable,42250712,US,39.952982,-75.192768,6463801,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,Domestic Higher Education,19104-6205,UNITED STATES,,1-Jun-2020,31-May-2021,,Research Projects,2020,,167890,41153,,209043
No NIH Category available.,Achievement;Affect;Agglutination;Agreement;Allergens;Allergic;assay development;Automation;base;Biological Assay;Biological Sciences;Blood;Blood specimen;Blood Tests;Blood Volume;Businesses;Cashew nut;Certification;Chemistry;Child;Childhood;Clinical;clinical trial enrollment;Clinical Trials;cohort;commercialization;cost;cross reactivity;design;Development;Devices;Diagnosis;Diagnostic;DNA;egg;Ensure;Evaluation;Exhibits;Food;food allergen;food avoidance;Food Hypersensitivity;Generations;Hazelnuts;Health;Home environment;Hypersensitivity;IgE;Immunologic Markers;Immunologic Tests;Immunology;Immunotherapy;improved;Infant;innovation;Juglans;Laboratories;Liquid substance;Manuals;manufacturing process;Marketing;Measures;Methods;Milk;Monitoring Clinical Trials;next generation;novel;Output;Patients;Performance;Phase;phase 1 study;Plasma;Prevention;Prevention therapy;Process;product development;Protocols documentation;quality assurance;Quality Control;Reagent;Reproducibility;research clinical testing;Risk;Robotics;ROC Curve;Sampling;San Francisco;Secure;Sensitivity and Specificity;Shrimp;Signal Transduction;software development;soy;Specificity;Spottings;success;Technology;Test Result;Testing;testing services;Therapeutic;Transportation;United States;Validation;Variant;Venous;Venous blood sampling;Wheat;,Multiplex food allergy diagnostic based on IgE immunologic markers,Food allergy is a growing and potentially fatal condition affecting over 8% of children in theUnited States. Tests that diagnose or establish risk for allergy guide treatment decisions andsupport clinical trials for new and innovative prevention therapies. However; current allergy testsare expensive; inaccurate and require large volumes of blood which makes it challenging to testsmall children. Enable Biosciences is developing a low-cost; next-generation allergy test withmuch better accuracy that requires only a minute blood sample that can be collected byfingerstick or dried blood spot in the convenience of the home.,NIAID,10011621,6-Apr-2020,PA-19-272,2R44AI141118-02,2,R44,AI,141118,2,,"MINNICOZZI, MICHAEL",8-Aug-2018,31-Mar-2022,Special Emphasis Panel (ZRG1-IMM-M (10)B),,14266924,"SEFTEL, DAVID ",Not Applicable,14,Unavailable,79962225,US,,,10040233,"ENABLE BIOSCIENCES, INC.",South San Francisco,CA,Domestic For-Profits,94080,UNITED STATES,,6-Apr-2020,31-Mar-2021,855,SBIR-STTR,2020,NIAID,,,845777,
Autoimmune Disease;Bioengineering;Biotechnology;Clinical Research;Diabetes;Health Services;Pediatric;Prevention;Women's Health,Acceleration;Affect;Agglutination;Agreement;American;Antibodies;Autoantibodies;Autoimmune Diseases;Autoimmunity;Automation;base;Beta Cell;biobank;Biological Assay;Biological Sciences;Cessation of life;Chemistry;Child;CLIA certified;Clinical;clinical diagnostics;cohort;Color;commercialization;comorbidity;Companions;Consumption;cost;Data;Decentralization;design;Detection;Development;Devices;Diabetes autoantibodies;diabetes control;Diabetes Mellitus;Diabetic Ketoacidosis;Diagnosis;Diagnostic tests;Disease;DNA;DNA Probes;DNA Sequence;Early Diagnosis;emergency settings;FDA approved;fluorophore;Funding;General Population;Gold;Hemoglobin;Immunoassay;improved;Insulin;Insulin-Dependent Diabetes Mellitus;Intervention;Islet Cell;islet cell antibody;Laboratories;Life;Lipids;Liquid substance;Manuals;manufacturing process;medical schools;member;Methods;Monoclonal Antibodies;novel;Output;Patients;Pediatric Hospitals;Phase;Population;pre-clinical;predictive marker;prevent;Preventive;Procedures;Process;Production;prototype;quality assurance;Quality Control;Radioactive;Radioimmunoassay;Reagent;Reproducibility;Research;Resources;Risk;Risk Assessment;Robotics;Sampling;screening;screening panel;Sensitivity and Specificity;Serum;Services;Site;skills;software development;Source;System;Technology;tertiary care;Test Result;Testing;Therapeutic;Time;Validation;Variant;Work;,An Ultrasensitive; High-Throughput; and Low-Cost Autoimmunity Panel for the Early Diagnosis and Improved Treatment of Type 1 Diabetes,Current tests for type 1 diabetes are too expensive and slow to be deployed early and often enough to engage adequate preventive resources or spur emerging therapeutic strategies that can slow or arrest the disease and help avoid death due to frequently fatal diabetic ketoacidosis (DKA). Enable Biosciences is developing the world's first fully-automated; multiplex and high- throughput autoantibody screening panel that will facilitate more frequent testing and potentially general population screening to help predict onset of T1DM before it happens to help prevent death due to unanticipated DKA in children. Such a test could improve the lives of millions worldwide by providing both risk assessment and timely diagnosis enabling improved treatment options; especially for young children who are most vulnerable and disproportionately affected by T1D.,NIDDK,9688998,27-Mar-2019,PA-17-302,5R44DK111005-03,5,R44,DK,111005,3,,"ARREAZA-RUBIN, GUILLERMO",1-Aug-2016,31-Mar-2021,Special Emphasis Panel (ZRG1-EMNR-W (10)B),,14266924,"SEFTEL, DAVID ",Not Applicable,14,Unavailable,79962225,US,,,10040233,"ENABLE BIOSCIENCES, INC.",South San Francisco,CA,Domestic For-Profits,94080,UNITED STATES,,1-Apr-2019,31-Mar-2021,847,SBIR-STTR,2019,NIDDK,,,749838,
Autoimmune Disease;Diabetes;Pediatric;Prevention,Accident and Emergency department;Achievement;Address;Adult;Affect;Agglutination;Agreement;American;Antibodies;Autoantibodies;Autoimmune Diseases;Automation;base;Biological Assay;Biological Sciences;Blinded;Blood;Blood Screening;Child;chronic autoimmune disease;Classification;Clinical;Clinical Laboratory Information Systems;cloud based;Cold Chains;Collaborations;Collection;Communities;cost;cost effective;Custom;Data;Decentralization;design;Detection;Development;Devices;Diabetes autoantibodies;diabetes risk;Diabetic Ketoacidosis;Diagnosis;Disease;Economic Burden;Effectiveness;Fingers;General Population;Gold;Immunoassay;improved;Incidence;Individual;Information Systems;Insulin Antibodies;Insulin-Dependent Diabetes Mellitus;islet;Islet Cell;Laboratories;Life;Liquid substance;Manuals;Measures;medical schools;Methods;Modification;Paper;Patients;Performance;Phase;population based;Preparation;prevent;Procedures;Process;program costs;programs;Protocols documentation;quality assurance;Quality of life;Radioimmunoassay;Readiness;Reagent;Research Personnel;Resolution;Risk;robotic system;Robotics;Sampling;screening;screening program;Serum;Shipping;Signal Transduction;Solid;Spottings;Standardization;Sudden Death;System;Testing;Universities;Validation;Venous blood sampling;young adult;,Development of An Automated High-Throughput Dried Blood Spot Assay to Facilitate Large Scale Screening for Type 1 Diabetes Risk,Type 1 diabetes is an incurable autoimmune disease that affects millions of Americans.Screening children and young adults in the general population for their risk of developing type 1diabetes may help prevent sudden death due to severe disease and help efforts to find a cure.Enable Biosciences is automating methods to measure the presence of blood-borne markers oftype 1 diabetes risk using tiny spots of dried blood on paper cards to ease collection; storageand shipping of samples; lowering costs and making it much easier for anyone to get testedwhile simultaneously helping researchers to develop better therapies.,NIDDK,9910015,18-Sep-2019,PA-18-574,1R44DK124009-01,1,R44,DK,124009,1,,"ARREAZA-RUBIN, GUILLERMO",19-Sep-2019,31-Jul-2021,Special Emphasis Panel (ZRG1-IMM-M (10)B),,14266924,"SEFTEL, DAVID ",Not Applicable,14,Unavailable,79962225,US,,,10040233,"ENABLE BIOSCIENCES, INC.",South San Francisco,CA,Domestic For-Profits,94080,UNITED STATES,,19-Sep-2019,31-Jul-2020,847,SBIR-STTR,2019,NIDDK,,,746584,
No NIH Category available.,Acute;Adult;Area;Astrocytes;Axon;axon growth;base;Behavioral;Biocompatible Materials;Biomedical Engineering;Birth;Blood Vessels;Brain;Brain region;brain repair;brain tissue;Cells;Cerebral cortex;Clinical;clinically translatable;Data;design;Development;disability;disability burden;Engineering;Environment;experimental study;Formulation;Generations;Goals;Heparin;Human;Hyaluronic Acid;Hydrogels;Immune response;improved;in vivo;Infarction;Infiltration;inflammatory modulation;Inflammatory Response;Injectable;Injections;Integrin Binding;interest;Ischemic Stroke;Lead;Location;Mechanics;Medical;Monitor;Mus;nanoparticle;Natural regeneration;Necrosis;nerve stem cell;Neurologic;Neurons;Neurorehabilitation;new technology;novel therapeutics;particle;Physical Medicine;Physical therapy;Play;Population;post stroke;programs;Proteins;Recovery;Repair Material;repaired;response;RGD (sequence);Robotics;Role;scaffold;Signaling Molecule;Speed;Stem cells;Stroke;Structure;Synapses;synaptogenesis;Technology;Therapeutic;Thrombospondin 1;Time;TimeLine;tissue repair;Tissues;Vascular Endothelial Growth Factors;,Biomaterials to promote synapse formation after stroke,NarrativeStroke is the leading cause of adult disability and no current treatments exist beyond physical therapy. Thisproposal explores the development of a biomaterial based therapy to promote recovery after stroke. Thematerial promotes revascularization and synapse formation.,NINDS,9961194,20-Feb-2020,PA-19-056,1R01NS112940-01A1,1,R01,NS,112940,1,A1,"BOSETTI, FRANCESCA",1-Mar-2020,30-Nov-2024,"Bioengineering of Neuroscience, Vision and Low Vision Technologies Study Section (BNVT) ",,8786069,"SEGURA, TATIANA ",Not Applicable,1,BIOMEDICAL ENGINEERING,44387793,US,36.006824,-78.924579,2221101,DUKE UNIVERSITY,DURHAM,NC,SCHOOLS OF ENGINEERING,27705-4673,UNITED STATES,,1-Mar-2020,30-Nov-2020,853,Research Projects,2020,NINDS,384094,155720,539814,
