Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
CUSTOMIZABLE AAC SYSTEM USING CONTEXT INFORMATION,NLM,2032620,1R43LM006522-01,1,R43,LM,6522,1,,,1927319,"MYERS, GLENN A",Not Applicable,"ADAPTIVE COMPUTER SYSTEMS, INC.",,1997,100000,
Pragmatics to Reveal Intention in Social Media (PRISM) for Health Promotion,NLM,9818197,1R01LM012974-01A1,1,R01,LM,12974,1,A1,,12199429,"MYNENI, SAHITI ",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,,2019,372890,
SELECTING AMONG MATHEMATICAL MODELS OF COGNITION,NIMH,6185788,5R01MH057472-03,5,R01,MH,57472,3,,,2084970,"MYUNG, JAY I.",Not Applicable,OHIO STATE UNIVERSITY,,2000,77332,
SELECTING AMONG MATHEMATICAL MODELS OF COGNITION,NIMH,2891003,5R01MH057472-02,5,R01,MH,57472,2,,,2084970,"MYUNG, JAY I.",Not Applicable,OHIO STATE UNIVERSITY,,1999,75078,
SELECTING AMONG MATHEMATICAL MODELS OF COGNITION,NIMH,2694082,1R01MH057472-01A1,1,R01,MH,57472,1,A1,,2084970,"MYUNG, JAY I.",Not Applicable,OHIO STATE UNIVERSITY,,1998,77392,
Intelligent Imaging Robot for Structural Genomics,NIGMS,6694894,1R43GM069262-01,1,R43,GM,69262,1,,,7010284,"NAGARAJAN, VENKATRAMAN ",Not Applicable,"JAN SCIENTIFIC, INC.",,2003,100000,
Studying the Laryngeal Mechanisms Underlying Dysphonia in Connected Speech,NIDCD,9720522,1K01DC017751-01,1,K01,DC,17751,1,,,14586586,"NAGHIBOLHOSSEINI, MARYAM ",Not Applicable,MICHIGAN STATE UNIVERSITY,,2019,137795,
Hemostasis; Hematoma Expansion; and Outcomes After Intracerebral Hemorrhage,NINDS,9714475,1R01NS110779-01,1,R01,NS,110779,1,,,8148854,"NAIDECH, ANDREW M",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,632829,
A Brain Atlas for Mapping Connectivity in Focal Epilepsy,NINDS,9645112,5R01NS089212-05,5,R01,NS,89212,5,,,14261592,"NAIR, DILEEP  ","LEAHY, RICHARD M;MOSHER, JOHN COMPTON",CLEVELAND CLINIC LERNER COM-CWRU,,2019,516327,
Dynamics of Vocal Tract Shaping,NIDCD,9605700,5R01DC007124-13,5,R01,DC,7124,13,,,7926211,"NARAYANAN, SHRIKANTH ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2019,467515,
Cognitive and Molecular Challenges to Statistical Inference Across Healthy Aging.,NIA,9991267,4R00AG054732-03,4,R00,AG,54732,3,,,9509668,"NASSAR, MATTHEW ",Not Applicable,BROWN UNIVERSITY,,2019,248994,
CANINE MODEL OF SEPTIC SHOCK,CLC,3963111,1Z01CL000017-01,1,Z01,CL,17,1,,,3205732,"NATANSON, C ",Not Applicable,CLINICAL CENTER,,1986,,
Developing and validating prognostic metabolomic signatures of diabetic kidney disease,NIDDK,9695208,5R01DK110541-03,5,R01,DK,110541,3,,,8205977,"NATARAJAN, LOKI ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2019,335803,
CLINICAL TRIALS OF EXPERT SYSTEM ON LYMPH NODE PATHOLOGY,NCI,2094363,5R01CA051729-03,5,R01,CA,51729,3,,,1979286,"NATHWANI, BHARAT N",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,1993,327438,
CLINICAL TRIALS OF EXPERT SYSTEM ON LYMPH NODE PATHOLOGY,NCI,3196370,5R01CA051729-02,5,R01,CA,51729,2,,,1979286,"NATHWANI, BHARAT N",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,1992,310490,
CLINICAL TRIALS OF EXPERT SYSTEM ON LYMPH NODE PATHOLOGY,NCI,3196369,1R01CA051729-01A1,1,R01,CA,51729,1,A1,,1979286,"NATHWANI, BHARAT N",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,1991,327709,
COMPUTER AIDED DIAGNOSIS OF LYMPH NODE DISEASES,NLM,3373793,5R01LM004529-03,5,R01,LM,4529,3,,,1979286,"NATHWANI, BHARAT N",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,1988,227240,
COMPUTER AIDED DIAGNOSIS OF LYMPH NODE DISEASES,NLM,3373792,5R01LM004529-02,5,R01,LM,4529,2,,,1979286,"NATHWANI, BHARAT N",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,1987,272077,
COMPUTER AIDED DIAGNOSIS OF LYMPH NODE DISEASES,NLM,3373791,1R01LM004529-01,1,R01,LM,4529,1,,,1979286,"NATHWANI, BHARAT N",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,1986,244239,
DISPOSABLE SHORT TO MEDIUM TERM USE ROTARY BLOOD PUMP,NHLBI,6014989,1R43HL063512-01,1,R43,HL,63512,1,,,6066194,"NAVARRO, RICHARD R",Not Applicable,ELECTROSONICS MEDICAL INC,,1999,107262,
Quantitative Modeling Software with Applications to Medical Decision Making,NLM,9774898,1R43LM013133-01A1,1,R43,LM,13133,1,A1,,9395361,"NAYAK, SMITA ",Not Applicable,"BERKELEY MADONNA, INC.",,2019,326600,
Radionuclide imaging and therapy dosimetry system,NCI,6335978,1R41CA088422-01A1,1,R41,CA,88422,1,A1,,1950751,"NELMS, BENJAMIN E",Not Applicable,"COMPUTERIZED MEDICAL SYTEMS, INC.",,2001,100000,
CONTROL OF SENSORY ACQUISITION IN WEAKLY ELECTRIC FISH,NIMH,2248766,5R29MH049242-04,5,R29,MH,49242,4,,,1879503,"NELSON, MARK E",Not Applicable,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,,1995,94791,
CONTROL OF SENSORY ACQUISITION IN WEAKLY ELECTRIC FISH,NIMH,2248765,5R29MH049242-03,5,R29,MH,49242,3,,,1879503,"NELSON, MARK E",Not Applicable,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,,1994,91077,
CONTROL OF SENSORY ACQUISITION IN WEAKLY ELECTRIC FISH,NIMH,3475877,5R29MH049242-02,5,R29,MH,49242,2,,,1879503,"NELSON, MARK E",Not Applicable,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,,1993,96221,
CONTROL OF SENSORY ACQUISITION IN WEAKLY ELECTRIC FISH,NIMH,3475876,1R29MH049242-01,1,R29,MH,49242,1,,,1879503,"NELSON, MARK E",Not Applicable,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,,1992,92748,
INTELLIGENT AUTOMATED RESTRICTION MAPPING TOOL,NHGRI,2209202,5R01HG000972-02,5,R01,HG,972,2,,,1963245,"NELSON, PETER C",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO,,1995,134128,
INTELLIGENT AUTOMATED RESTRICTION MAPPING TOOL,NHGRI,2209201,1R01HG000972-01,1,R01,HG,972,1,,,1963245,"NELSON, PETER C",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO,,1994,138701,
Deep Learning and Streaming Analytics for Prediction of Adverse Events in the ICU,NIEHS,9983413,7K01ES025445-06,7,K01,ES,25445,6,,,10986837,"NEMATI, SHAMIM ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2019,190216,
Real-time video monitoring of falls in memory-care facilities for individuals with Alzheimer's and related dementias,NIA,9465622,1R43AG058354-01,1,R43,AG,58354,1,,,14987213,"NETSCHER, GEORGE  ","BAYEN, ALEXANDRE ;XIONG, GLEN ","SAFELYYOU, INC.",,2017,150000,
A Comprehensive Fall Prevention System for Memory Care: Final Feasibility and Randomized Controlled Study,NIA,10008400,4R44AG062088-02,4,R44,AG,62088,2,,,14987213,"NETSCHER, GEORGE ",Not Applicable,"SAFELYYOU, INC.",,2019,536666,
A Comprehensive Fall Prevention System for Memory Care: Final Feasibility and Randomized Controlled Study,NIA,9683937,1R44AG062088-01,1,R44,AG,62088,1,,,14987213,"NETSCHER, GEORGE ",Not Applicable,"SAFELYYOU, INC.",,2018,484916,
RESPIRATION AND APNEA MONITORING IN NEONATES,NCRR,3948901,5M01RR000210-23,5,M01,RR,210,23,,178,3355981,"NEUMAN, MICHAEL R",Not Applicable,CASE WESTERN RESERVE UNIVERSITY,,1987,,
RESPIRATION AND APNEA MONITORING IN NEONATES,NCRR,3974429,5M01RR000210-22,5,M01,RR,210,22,,178,3355981,"NEUMAN, MICHAEL R",Not Applicable,CASE WESTERN RESERVE UNIVERSITY,,1986,,
RESPIRATION AND APNEA MONITORING IN NEONATES,NCRR,4701884,2M01RR000210-21,2,M01,RR,210,21,,178,3355981,"NEUMAN, MICHAEL R",Not Applicable,CASE WESTERN RESERVE UNIVERSITY,,1985,,
CLASSIFICATION METHODS FOR DETECTING DISEASE LOCI,NIAAA,6168495,5R01AA012239-03,5,R01,AA,12239,3,,,1894369,"NEUMAN, ROSALIND J",Not Applicable,WASHINGTON UNIVERSITY,,2000,180260,
CLASSIFICATION METHODS FOR DETECTING DISEASE LOCI,NIAAA,2894288,5R01AA012239-02,5,R01,AA,12239,2,,,1894369,"NEUMAN, ROSALIND J",Not Applicable,WASHINGTON UNIVERSITY,,1999,175004,
CLASSIFICATION METHODS FOR DETECTING DISEASE LOCI,NIAAA,2865173,1R01AA012239-01,1,R01,AA,12239,1,,,1894369,"NEUMAN, ROSALIND J",Not Applicable,WASHINGTON UNIVERSITY,,1998,162275,
Testing a Model of Competitive Memory Retrieval,NIMH,7113431,1F31MH077469-01,1,F31,MH,77469,1,,,7929212,"NEWMAN, EHREN L.",Not Applicable,PRINCETON UNIVERSITY,,2006,44657,
Gadolinium Free Cardiac MR Imaging of Scar and Fibrosis,NHLBI,10072898,1R01HL154744-01,1,R01,HL,154744,1,,,8768725,"NEZAFAT, REZA ",Not Applicable,BETH ISRAEL DEACONESS MEDICAL CENTER,,2020,946194,
DECISION SUPPORT SYSTEM TO IDENTIFY THE AT RISK FETUS,NICHD,2673758,5R44HD031837-03,5,R44,HD,31837,3,,,1874718,"NGUYEN, DUONG ",Not Applicable,ROSE BIOMEDICAL DEVELOPMENT CORPORATION,,1998,337754,
DECISION SUPPORT SYSTEM TO IDENTIFY THE AT RISK FETUS,NICHD,2421880,2R44HD031837-02,2,R44,HD,31837,2,,,1874718,"NGUYEN, DUONG ",Not Applicable,ROSE BIOMEDICAL DEVELOPMENT CORPORATION,,1997,407053,
Neighborhood Looking Glass: 360 Degree Automated Characterization of the Built Environment for Neighborhood Effects Research,NLM,9756470,5R01LM012849-02,5,R01,LM,12849,2,,,12078572,"NGUYEN, QUYNH ",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK",,2019,329730,
Integrating Neuroimaging; Multi-omics; and Clinical Data in Complex Disease,NLM,9694279,5R01LM012535-03,5,R01,LM,12535,3,,,10941211,"NHO, KWANGSIK TIMOTHY ","KIM, DOKYOON ;KIM, SUNGEUN ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,,2019,341691,
A deep learning platform to evaluate the reliability of scientific claims by citation analysis.,NIDA,9885663,1R44DA050155-01,1,R44,DA,50155,1,,,15812915,"NICHOLSON, JOSH ",Not Applicable,"SCITE, INC.",,2019,206139,
Development of a Machine Learning Model for Prostate Cancer Treatment Planning,NCI,10027488,75N91019C00054-0-9999-1,,N43,CA,,,,,16188204,"NICOLALDE, ROBERTO ",Not Applicable,"NICOLALDE R AND D, LLC",,2019,300000,
Corticofugal Modulation of Tactile Sensory Processing,NIDCR,6857150,5R01DE013810-05,5,R01,DE,13810,5,,,8368430,"NICOLELIS, MIGUEL A. L.",Not Applicable,DUKE UNIVERSITY,,2005,358050,
Corticofugal Modulation of Tactile Sensory Processing,NIDCR,6708002,5R01DE013810-04,5,R01,DE,13810,4,,,8368430,"NICOLELIS, MIGUEL A. L.",Not Applicable,DUKE UNIVERSITY,,2004,358050,
Corticofugal Modulation of Tactile Sensory Processing,NIDCR,6634690,5R01DE013810-03,5,R01,DE,13810,3,,,8368430,"NICOLELIS, MIGUEL A. L.",Not Applicable,DUKE UNIVERSITY,,2003,358050,
Corticofugal Modulation of Tactile Sensory Processing,NIDCR,6516620,5R01DE013810-02,5,R01,DE,13810,2,,,8368430,"NICOLELIS, MIGUEL A. L.",Not Applicable,DUKE UNIVERSITY,,2002,358050,
Corticofugal Modulation of Tactile Sensory Processing,NIDCR,6331594,1R01DE013810-01A1,1,R01,DE,13810,1,A1,,8368430,"NICOLELIS, MIGUEL A. L.",Not Applicable,DUKE UNIVERSITY,,2001,358050,
Socially-Assistive Robots for Alzheimer?s (SARA),NIA,9909512,1R43AG066288-01,1,R43,AG,66288,1,,,12408709,"NIEHAUS, JAMES M",Not Applicable,"CHARLES RIVER ANALYTICS, INC.",,2019,535315,
INTELLIGENT REFRIGERATED AUTOMATIC STORAGE SYSTEM,NCRR,3509433,2R44RR007559-02,2,R44,RR,7559,2,,,3172912,"NIELSON, BYRON L",Not Applicable,"AUTOMATED CONTROL SYSTEMS, INC.",,1992,219863,
Bioinformatics for post-traumatic stress,NIMH,9760006,5R01MH116156-02,5,R01,MH,116156,2,,,10864456,"NIELSON, JESSICA LEIGH",Not Applicable,UNIVERSITY OF MINNESOTA,,2019,501996,
Developmental Variations in Corticostriatal Thalamocortical Circuits and their Relationship to Psychopathology,NIMH,9652113,1R21MH118556-01,1,R21,MH,118556,1,,,15239632,"NIKOLAIDIS, AKI ",Not Applicable,"CHILD MIND INSTITUTE, INC.",,2019,220232,
Feature Learning For Improved Multiplex Disease Diagnosis,NIGMS,9813275,3R43GM128538-01S2,3,R43,GM,128538,1,S2,,7243371,"NILSSON, ERIK J",Not Applicable,"DEURION, LLC",,2019,25298,
Feature Learning For Improved Multiplex Disease Diagnosis,NIGMS,9813280,3R43GM128538-01S1,3,R43,GM,128538,1,S1,,7243371,"NILSSON, ERIK J",Not Applicable,"DEURION, LLC",,2019,14770,
SIGN FINDER: COMPUTER VISION TO FIND AND READ SIGNS,NEI,2720318,1R43EY011821-01A2,1,R43,EY,11821,1,A2,,7995230,"NITZBERG, MARK JAY",Not Applicable,BLINDSIGHT CORPORATION,,2000,100000,
A Smart Telescope for Low Vision,NEI,6995047,3R43EY014487-02S1,3,R43,EY,14487,2,S1,,7995230,"NITZBERG, MARK JAY",Not Applicable,BLINDSIGHT CORPORATION,,2005,144106,
A Smart Telescope for Low Vision,NEI,6665322,5R43EY014487-02,5,R43,EY,14487,2,,,7995230,"NITZBERG, MARK JAY",Not Applicable,BLINDSIGHT CORPORATION,,2003,245656,
A Smart Telescope for Low Vision,NEI,6710523,3R43EY014487-01S1,3,R43,EY,14487,1,S1,,7995230,"NITZBERG, MARK JAY",Not Applicable,BLINDSIGHT CORPORATION,,2003,139234,
A Smart Telescope for Low Vision,NEI,6580977,1R43EY014487-01,1,R43,EY,14487,1,,,7995230,"NITZBERG, MARK JAY",Not Applicable,BLINDSIGHT CORPORATION,,2002,246164,
Accelerated x-ray therapy planning system PEREGRINE,NCI,6787955,1R41CA108088-01,1,R41,CA,108088,1,,,7352753,"NIZIN, PAUL S",Not Applicable,NOMOS CORPORATION,,2004,100000,
Optimization and joint modeling for peptide detection by tandem mass spectrometry,NIGMS,9627997,5R01GM121818-03,5,R01,GM,121818,3,,,7590699,"NOBLE, WILLIAM STAFFORD",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,315830,
The MEME suite of motif-based sequence analysis tools,NCRR,6907504,1R01RR021692-01,1,R01,RR,21692,1,,,7590699,"NOBLE, WILLIAM STAFFORD",Not Applicable,UNIVERSITY OF WASHINGTON,,2005,307663,
Computational; Neural; and Behavioral Studies of Competition-Dependent Learning,NIMH,9741542,5R01MH069456-14,5,R01,MH,69456,14,,,6137770,"NORMAN, KENNETH A ","TURK-BROWNE, NICHOLAS BENJAMIN",PRINCETON UNIVERSITY,,2019,455418,
Biostatistics Facility,NCI,9753974,5P30CA047904-31,5,P30,CA,47904,31,,6379,2108321,"NORMOLLE, DANIEL P",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2019,,424881
A Novel Pregnancy Prevention Intervention for Latino Middle School Girls,NINR,9519046,5R01NR014851-05,5,R01,NR,14851,5,,,1891228,"NORRIS, ANNE E",Not Applicable,UNIVERSITY OF MIAMI CORAL GABLES,,2018,620198,
A Novel Pregnancy Prevention Intervention for Latino Middle School Girls,NINR,9285614,5R01NR014851-04,5,R01,NR,14851,4,,,1891228,"NORRIS, ANNE E",Not Applicable,UNIVERSITY OF MIAMI CORAL GABLES,,2017,747607,
A Novel Pregnancy Prevention Intervention for Latino Middle School Girls,NINR,9103906,5R01NR014851-03,5,R01,NR,14851,3,,,1891228,"NORRIS, ANNE E",Not Applicable,UNIVERSITY OF MIAMI CORAL GABLES,,2016,808034,
A Novel Pregnancy Prevention Intervention for Latino Middle School Girls,NINR,9221647,3R01NR014851-02S1,3,R01,NR,14851,2,S1,,1891228,"NORRIS, ANNE E",Not Applicable,UNIVERSITY OF MIAMI CORAL GABLES,,2016,35738,
A Novel Pregnancy Prevention Intervention for Latino Middle School Girls,NINR,8935645,5R01NR014851-02,5,R01,NR,14851,2,,,1891228,"NORRIS, ANNE E",Not Applicable,UNIVERSITY OF MIAMI CORAL GABLES,,2015,652270,
A Novel Pregnancy Prevention Intervention for Latino Middle School Girls,NINR,8815713,1R01NR014851-01A1,1,R01,NR,14851,1,A1,,1891228,"NORRIS, ANNE E",Not Applicable,UNIVERSITY OF MIAMI CORAL GABLES,,2014,709980,
COMPUT. ASSISTED DECISION SUPPORT/OUTCOMES OF NURS. CARE,NINR,3391599,1R01NR001672-01,1,R01,NR,1672,1,,,1869622,"NORRIS, JOAN FRANCES",Not Applicable,CREIGHTON UNIVERSITY,,1987,75480,
Expert Guiding Technology to Help Individuals with Developmental Challenges Build Life and Vocational Skills,NIMH,9846769,1R43MH121230-01,1,R43,MH,121230,1,,,15323882,"NOSEK, JOHN ",Not Applicable,GUIDING TECHNOLOGIES CORPORATION,,2019,282159,
Accelerating phage evolution and tools via synthetic biology and machine learning,NIBIB,9714883,1R01EB027895-01,1,R01,EB,27895,1,,,14747138,"NUGEN, SAM R",Not Applicable,CORNELL UNIVERSITY,,2019,666637,
PHYSICAL AND DIGITAL PHANTOMS OF HUMAN HEAD,NIMH,2034278,2R44MH053768-02A1,2,R44,MH,53768,2,A1,,1871986,"NUNEZ, PAUL L",Not Applicable,"ELECTRICAL GEODESICS, INC.",,1997,294862,
Method Development: Efficient Computer Vision Based Algorithms,NCI,10014371,1ZIABC010442-18,1,ZIA,CA,10442,18,,,8300611,"NUSSINOV, RUTH ",Not Applicable,,,2019,171764,
TWO DIMENSIONAL PHOTON COUNTING POSTITION ENCODER,NINDS,3503987,1R43NS022306-01,1,R43,NS,22306,1,,,3792282,"NUTT, RONALD ",Not Applicable,"CTI, INC.",,1985,50000,
ELASTICITY IMAGING FOR EARLY RENAL PATHOLOGY DETECTION,NIDDK,2016733,5R01DK047324-03,5,R01,DK,47324,3,,,1860260,"O'DONNELL, MATTHEW ",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR,,1997,209601,
ELASTICITY IMAGING FOR EARLY RENAL PATHOLOGY DETECTION,NIDDK,2146817,1R01DK047324-01A1,1,R01,DK,47324,1,A1,,1860260,"O'DONNELL, MATTHEW ",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR,,1995,191426,
Clinical Core,NIAMS,9898139,1U19AR076737-01,1,U19,AR,76737,1,,5005,15903480,"O'NEILL, CONOR ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",,2019,,9733240
Predicting Short-Term Risk for Suicidal Behavior after Contact with Outpatient Specialists: A Machine Learning Approach,NIMH,9835007,1F31MH121039-01,1,F31,MH,121039,1,,,15123566,"O'REILLY, LAUREN MARIE",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON,,2019,45016,
Human Face Representation in Deep Convolutional Neural Networks,NEI,9641233,1R01EY029692-01,1,R01,EY,29692,1,,,1893364,"O'TOOLE, ALICE J",Not Applicable,UNIVERSITY OF TEXAS DALLAS,,2019,387918,
 SBIR Topic 379: DigiBioMarC: Digital BioMarkers for Clinical Impact- Moonshot Project(Fast Track),NCI,9952269,261201800010C-P00001-9999-1,,N43,CA,,,,,9118412,"OAKLEY-GIRVAN, INGRID ",Not Applicable,"MEDABLE, INC.",,2019,1499800,
Urine protein markers of disease in lupus nephritis,NIAMS,6951552,5R21AR051719-02,5,R21,AR,51719,2,,,1890615,"OATES, JAMES C",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA,,2005,63000,
Urine protein markers of disease in lupus nephritis,NIAMS,6838455,1R21AR051719-01,1,R21,AR,51719,1,,,1890615,"OATES, JAMES C",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA,,2004,63000,
Deep Learning to Transform Clinician Autism Diagnostic Assessments and More,NIMH,9742525,5R44MH115523-03,5,R44,MH,115523,3,,,8547850,"OBERLEITNER, RONALD ",Not Applicable,"CARING TECHNOLOGIES, INC.",,2019,491792,
Deep Learning to Transform Clinician Autism Diagnostic Assessments and More,NIMH,9840810,3R44MH115523-02S1,3,R44,MH,115523,2,S1,,8547850,"OBERLEITNER, RONALD ",Not Applicable,"CARING TECHNOLOGIES, INC.",,2019,107870,
PULMONARY INFECTION IN PATIENTS WITH CHRONIC GRANULOMATOUS DISEASE (CGD),CLC,6161432,1Z01CL000165-02,1,Z01,CL,165,2,,,6216503,"OGNIBENE, F P",Not Applicable,CLINICAL CENTER,,1997,,
PULMONARY INFECTION IN PATIENTS WITH CHRONIC GRANULOMATOUS DISEASE (CGD),CLC,2456662,1Z01CL000165-01,1,Z01,CL,165,1,,,6216503,"OGNIBENE, F P",Not Applicable,CLINICAL CENTER,,1996,,
Retrospective Assessment of Pulmonary Infection in Patients with Chronic Granulo,CLC,6431778,1Z01CL000165-05,1,Z01,CL,165,5,,,2026836,"OGNIBENE, FREDERICK P",Not Applicable,CLINICAL CENTER,,2000,,
RETROSPECTIVE ASSESSMENT OF PULMONARY INFECTION IN PATIENTS WITH CHRONIC GRANULOM,CLC,6289403,1Z01CL000165-04,1,Z01,CL,165,4,,,2026836,"OGNIBENE, FREDERICK P",Not Applicable,CLINICAL CENTER,,1999,,
Retrospective Assessment of Pulmonary Infection in Patients with Chronic Granulom,CLC,6103575,1Z01CL000165-03,1,Z01,CL,165,3,,,2026836,"OGNIBENE, FREDERICK P",Not Applicable,CLINICAL CENTER,,1998,,
Breast Cancer Risk Assessment with Bayesian Networks,NCI,6667207,5R03CA099099-02,5,R03,CA,99099,2,,,6624683,"OGUNYEMI, OMOLOLA IJEOMA",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,,2003,68483,
Breast Cancer Risk Assessment with Bayesian Networks,NCI,6577578,1R03CA099099-01,1,R03,CA,99099,1,,,6624683,"OGUNYEMI, OMOLOLA IJEOMA",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,,2002,86458,
Predicting Diabetic Retinopathy from Risk Factor Data and Digital Retinal Images,NLM,9751381,5R01LM012309-04,5,R01,LM,12309,4,,,6624683,"OGUNYEMI, OMOLOLA IJEOMA ","TAIRA, RICKY K.",CHARLES R. DREW UNIVERSITY OF MED & SCI,,2019,512263,
COMPONENT BASED TOOLS FOR CONNECTIONIST CLASSIFICATION,NLM,2897393,5R01LM006538-02,5,R01,LM,6538,2,,,1900244,"OHNO-MACHADO, LUCILA ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,,1999,249197,
COMPONENT BASED TOOLS FOR CONNECTIONIST CLASSIFICATION,NLM,2385272,1R01LM006538-01,1,R01,LM,6538,1,,,1900244,"OHNO-MACHADO, LUCILA ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,,1998,198939,
COMPONENT BASED TOOLS FOR CONNECTIONIST CLASSIFICATION,NLM,2649830,1R55LM006538-01,1,R55,LM,6538,1,,,1900244,"OHNO-MACHADO, LUCILA ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL,,1997,100000,
Boston-Area Research Training Program in Biomedical Informatics,NLM,7214362,2T15LM007092-16,2,T15,LM,7092,16,,,1900244,"OHNO-MACHADO, LUCILA ",Not Applicable,HARVARD UNIVERSITY (MEDICAL SCHOOL),,2007,1561223,
Advancing Protein Engineering Using Artificial Intelligence and the ProtaBank Mutation Database,NIGMS,9847841,2R44GM117961-04A1,2,R44,GM,117961,4,A1,,10890791,"OLAFSON, BARRY D",Not Applicable,"PROTABIT, LLC",,2019,990318,
The gist of the space: A space centered approach to visual scene perception,NEI,8788527,5R01EY020484-05,5,R01,EY,20484,5,,,7338829,"OLIVA, AUDE ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2015,405502,
The gist of the space: A space centered approach to visual scene perception,NEI,8599464,5R01EY020484-04,5,R01,EY,20484,4,,,7338829,"OLIVA, AUDE ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2014,402592,
The gist of the space: A space centered approach to visual scene perception,NEI,8416357,5R01EY020484-03,5,R01,EY,20484,3,,,7338829,"OLIVA, AUDE ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2013,389686,
The gist of the space: A space centered approach to visual scene perception,NEI,8206519,5R01EY020484-02,5,R01,EY,20484,2,,,7338829,"OLIVA, AUDE ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2012,409600,
The gist of the space: A space centered approach to visual scene perception,NEI,8039320,1R01EY020484-01A1,1,R01,EY,20484,1,A1,,7338829,"OLIVA, AUDE ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2011,404890,
COMPUTER MODELING OF INHIBITOR-PROTEASE INTERACTIONS FOR RATIONAL DRUG DESIGN,NIGMS,5212220,5P01GM048870-05,5,P01,GM,48870,5,,1,3193229,"OLSON, ARTHUR J",Not Applicable,,,1996,,
CORE--COMPUTATIONAL CORE,NIGMS,5212225,5P01GM048870-05,5,P01,GM,48870,5,,9001,3193229,"OLSON, ARTHUR J",Not Applicable,,,1996,,
COMPUTER MODELING OF INHIBITOR/PROTEASE INTERACTIONS FOR RATIONAL DRUG DESIGN,NIGMS,6340972,5P01GM048870-09,5,P01,GM,48870,9,,1,1892568,"OLSON, ARTHUR J.",Not Applicable,SCRIPPS RESEARCH INSTITUTE,,2000,,113837
CORE--COMPUTATIONAL CORE,NIGMS,6340976,5P01GM048870-09,5,P01,GM,48870,9,,9001,1892568,"OLSON, ARTHUR J.",Not Applicable,SCRIPPS RESEARCH INSTITUTE,,2000,,113837
COMPUTER MODELING OF INHIBITOR/PROTEASE INTERACTIONS FOR RATIONAL DRUG DESIGN,NIGMS,6204262,5P01GM048870-08,5,P01,GM,48870,8,,1,1892568,"OLSON, ARTHUR J.",Not Applicable,SCRIPPS RESEARCH INSTITUTE,,1999,,113837
CORE--COMPUTATIONAL CORE,NIGMS,6204266,5P01GM048870-08,5,P01,GM,48870,8,,9001,1892568,"OLSON, ARTHUR J.",Not Applicable,SCRIPPS RESEARCH INSTITUTE,,1999,,113837
COMPUTER MODELING OF INHIBITOR/PROTEASE INTERACTIONS FOR RATIONAL DRUG DESIGN,NIGMS,6107669,5P01GM048870-07,5,P01,GM,48870,7,,1,1892568,"OLSON, ARTHUR J.",Not Applicable,SCRIPPS RESEARCH INSTITUTE,,1998,,113837
