OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
RFI-2019-NEXT-GHSC,Request for Information for Next Generation Supply Chain,USAID,Agency for International Development,,,"Erin Long 
Agreement Officer",,ghsc@usaid.gov,,,06/03/2019,07/15/2019,06/03/2019 8:58:03,Synopsis 1
DOS-ZAMBIA-PE-2019-04,Increasing Electoral Participation and Citizen Awareness of Public Corruption,DOS-ZAM,U.S. Mission to Zambia,400000,2,"Cheryl D Monticello
Grantor
Phone 260211357116",,selfhelplusaka@state.gov,,,08/08/2019,09/06/2019,08/23/2019 2:18:23,Synopsis 1
DTNH22-08-R-00116,Investigation/Prosecution of Odometer Fraud,DOT-NHTSA,National Highway Traffic Safety Administration,152000,4,"wendell Crowder
Contract Specialist
Phone 202-366-5456",,wendell.crowder@dot.gov,,,04/03/2008,05/05/2008,04/07/2008 9:43:07,Synopsis 3
RFI-20-GH-FHM-01,Frontier Health Markets (FHM),USAID,Agency for International Development,,,"Jacquelin  Bell
Contract Specialist
Phone 202-916-2706",,jacbell@usaid.gov,,,05/06/2020,06/05/2020,05/06/2020 10:57:06,Synopsis 1
BAA-AFRL-PK-12-0001,FY12 Air Force Defense Research and Development Rapid Innovation Fund (RIF) Program,DOD-AFRL,Air Force -- Research Lab,50000000,16,"Kristina J. Croake
Contracting Officer
Phone:  (937) 255-4758",,kristina.croake@wpafb.af.mil,,,10/01/2012,11/27/2012,10/01/2012 11:00:01,Synopsis 1
BJA-2016-9202,Violent Gang And Gun Crime Reduction Program (PSN),USDOJ-OJP-BJA,Bureau of Justice Assistance,8500000,12,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 800-518-4726 or 606-545-5035, or via email to support@grants.gov. The Grants.gov Support Hotline hours of operation are 24 hours a day, 7 days a week, except federal holidays. 
support@grants.gov
",,support@grants.gov,,,02/16/2016,05/17/2016,02/16/2016 13:54:16,Synopsis 2
DARPA-BAA-12-13,Radio Frequency-Field Programmable Gate Arrays (RF-FPGA),DOD-DARPA-MTO,DARPA - Microsystems Technology Office,,,Dr. William J Chappell,,DARPA-BAA-12-13@darpa.mil,,,11/09/2011,02/16/2012,12/21/2011 16:10:21,Synopsis 4
RFA-615-16-000001,Kenya Electoral Assistance Program (KEAP) 2017,USAID-EAF,East Africa USAID-Kenya,20000000,1,"Justine Kibabu
A & A Specialist
Phone +254208622368",,jkibabu@usaid.gov,,,12/08/2015,01/25/2016,02/23/2016 8:02:23,Synopsis 2
DARPA-BAA-11-32,Strategic Social Interaction Modules (SSIM),DOD-DARPA-I2O,DARPA - Information Innovation Office,,,"Dr. Brian Lande, Program Manager, DARPA/I2O",,DARPA-BAA-11-32@darpa.mil,,,03/22/2011,05/10/2011,03/22/2011 14:55:22,Synopsis 1
R14AS00074,Klamath River Restoration: Coho Salmon and its Critical Habitat: Request for Proposals for FY 2015,DOI-BOR,Bureau of Reclamation,3000000,1,"Judy Hudson
Grants Management Specialist
",,jhudson@usbr.gov,,,09/17/2014,10/17/2014,09/17/2014 12:51:17,Synopsis 1
EPA-HQ-OPPT-2020-001,FY 2020 – FY 2021 Pollution Prevention Grant Program,EPA,Environmental Protection Agency,9380000,40,"Michele Amhaz, 202-564-8857",,amhaz.michele@epa.gov,,,01/28/2020,04/30/2020,03/20/2020 19:26:20,Synopsis 2
EPA-HQ-OPPT-2020-002,FY 2020 and FY 2021 Source Reduction Assistance Grant Program,EPA,Environmental Protection Agency,1300000,20,"Michele Amhaz
U.S. EPA
1200 Pennsylvania Ave, NW
Mail code 7409M
Washington, DC 20460
202-564-8857",,amhaz.michele@epa.gov,,,03/05/2020,05/20/2020,05/15/2020 16:38:15,Synopsis 3
RFI-720-623-001,CATALYTIC CHANGE FOR CROSS BORDER HEALTH,USAID-KEN,Kenya USAID-Nairobi,,,"ESTHER A OWILI
Grantor
Phone 254.20.363.2451",,eowili@usaid.gov,,,12/11/2019,01/03/2020,12/17/2019 8:10:17,Synopsis 2
DHS-10-GPD-075-000-03,Fiscal Year 2010 Transit Security Grant Program (TSGP),DHS-DHS,Department of Homeland Security - FEMA,253000000,75,"Centralized Scheduling & Information Desk (CSID) Help Line
(800) 368-6498
askcsid@dhs.gov 

FEMA Call Center 
(866) 927-5646
ASK-GMD@dhs.gov ",,ASK-GMD@dhs.gov,,,12/11/2009,02/18/2010,12/11/2009 19:57:11,Synopsis 1
SFOP0006481,Countering Wildlife Trafficking in Sub-Saharan Africa,DOS-INL,Bureau of International Narcotics-Law Enforcement,9750000,15,wildlife@state.gov and WashingtonND@state.gov,,washingtonnd@state.gov,,,02/19/2020,06/05/2020,05/27/2020 9:50:27,Synopsis 2
NOAA-NMFS-FHQ-2012-2003362,2012 BREP,DOC,Department of Commerce,2500000,15,"Steve Drescher
Policy Advisor
",,steve.j.drescher@noaa.gov,,,04/20/2012,05/25/2012,04/20/2012 12:23:20,Synopsis 1
F15AS00056,Predation Rates and Use of Habitats and Wildlife Drinkers by Mountain Lions,DOI-FWS,Fish and Wildlife Service,77101,1,"Michelle L. Willcox, Program Analyst/Grants Specialist, 505-248-7486
michelle_willcox@fws.gov
",,michelle_willcox@fws.gov,,,12/23/2014,01/15/2015,12/23/2014 13:48:23,Synopsis 1
USDA-NIFA-SCRI-005799,Emergency Citrus Disease Research and Extension Request for Pre-Applications,USDA-NIFA,National Institute of Food and Agriculture,22000000,,"NIFA Help Desk 
Phone: 202-401-5048 
Business hours are M-F, 7:00 am -5:00 pm ET, excluding Federal holidays
",,electronic@nifa.usda.gov,,,04/15/2016,05/16/2016,04/15/2016 11:38:15,Synopsis 1
USDA-NRCS-MESO-15-1,Conservation Innovation Grants Fiscal Year (FY) 2015 Announcement for Program Funding - Maine,USDA-NRCS-MESO,NRCS-Maine State Office,200000,3,"Beth Chapman
Contracting Officer
Phone 207-990-9584",,Beth.Chapman@me.usda.gov,,,03/04/2015,05/08/2015,03/04/2015 15:58:04,Synopsis 1
F16AS00060,Coastal Program - Great Lakes Restoration Initiative,DOI-FWS,Fish and Wildlife Service,350000,8,"Christie Deloria, 906- 226-1240
christie_deloria@fws.gov
",,christie_deloria@fws.gov,,,12/17/2015,09/30/2016,12/17/2015 9:50:17,Synopsis 1
RFA-CE-12-005,Field Triage of Traumatic Brain Injury (TBI) in Older Adults Taking Anticoagulants or Platelet Inhibitors,HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,500000,2,"Centers for Disease Control and Prevention
Procurement and Grants Office
TIMS
Phone 770-488-2700",,PGOTIM@cdc.gov,,,02/27/2012,05/02/2012,03/09/2012 11:25:09,Synopsis 2
L11AS00117,BLM CA Mattole River Recovery Rearing Project,DOI-BLM,Bureau of Land Management,700000,1,"Leona B Parker, GMO, 530-252-5338
lparker@blm.gov
",,lparker@blm.gov,,,06/08/2011,06/29/2011,06/08/2011 19:45:08,Synopsis 1
F17AS00046,Coastal Program - Great Lakes Restoration Initiative,DOI-FWS,Fish and Wildlife Service,600000,12," Christie Deloria (906) 226-1240
christie_deloria@fws.gov
",,christie_deloria@fws.gov,,,12/06/2016,09/30/2017,01/10/2017 10:09:10,Synopsis 2
HR001117S0031,Ground Truth (GT),DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,"Dr. Adam Russell 
Program Manager, DARPA/DSO",,GroundTruth@darpa.mil,,,04/28/2017,06/29/2017,04/28/2017 15:23:28,Synopsis 1
F17AS00014,Coastal Program,DOI-FWS,Fish and Wildlife Service,7000000,500,"Samantha Brooke 703-358-1829
samantha_brooke@fws.gov
",,samantha_brooke@fws.gov,,,11/03/2016,09/30/2017,06/08/2017 14:18:08,Synopsis 2
USDA-NIFA-SCRI-006348,Emergency Citrus Disease Research and Extension Request for Pre-Applications (RFPA),USDA-NIFA,National Institute of Food and Agriculture,21800000,,"NIFA Help Desk 
Phone: 202-401-5048 
Business hours are M-F, 7:00 am -5:00 pm ET, excluding Federal holidays
",,electronic@nifa.usda.gov,,,04/11/2017,11/03/2017,10/03/2017 15:59:03,Synopsis 2
NNH18ZHA005C,Established Program to Stimulate Competitive Research (EPSCoR) Rapid Response Research,NASA,National Aeronautics and Space Administration,500000,5,Jeppie Compton,,jeppie.r.compton@nasa.gov,,,06/21/2018,06/20/2019,06/21/2018 23:48:21,Synopsis 1
7200AA19APSWASHNPI,CALL FOR PARTNERSHIP CONCEPT PAPERS GLOBAL PARTNERSHIPS ADVANCE CONFLICT TRANSFORMATION (GPACT) UNDER EXISTING NEW PARTNERSHIP INITIATIVE (NPI): CONFLICT-PREVENTION AND RECOVERY PROGRAM ANNUAL PROGRAM STATEMENT (CPRP),USAID,Agency for International Development,,1,"Roderick D Watson
Contract Specialist
Phone 202 712 0442",,rwatson@usaid.gov,,,06/27/2019,07/31/2019,07/15/2019 20:23:15,Synopsis 1
F19AS00317,Restoration and enhancement in instream and floodplain habitat in the Yakima Basin,DOI-FWS,Fish and Wildlife Service,853012,1,"Grants Management Specialist Connie Sauer 503-872-2826
Connie_Sauer@fws.gov",,Connie_Sauer@fws.gov,,,07/26/2019,08/02/2019,07/26/2019 16:47:26,Synopsis 1
POA-CESU-20-01,Management Species Hawaiian Petrel,DOD-COE-AK,Alaska District,,4,"Olen R Northern
Contract and Grants Officer
Phone 9077532525",,olen.r.northern@usace.army.mil,,,02/21/2020,02/24/2020,02/21/2020 15:55:21,Synopsis 1
RFA-520-17-000001,Fomenting Agriculture Incomes and Resilience Project - FAIR,USAID-GUA,Guatemala USAID-Guatemala City,60000000,2,"Sigui Patricia
Assistance Specialist
",,guatemalaproposals@usaid.gov,,,12/15/2016,02/15/2017,01/25/2017 8:02:25,Synopsis 2
F16AS00041,National Fish Passage Program,DOI-FWS,Fish and Wildlife Service,0,,"Stephanie Long, 703-358-1749
Stephanie_A_Long@fws.gov
",,Stephanie_A_Long@fws.gov,,,12/01/2015,09/01/2016,11/30/2015 11:23:30,Synopsis 1
CDC-RFA-GH11-1102,Logistics And Technical Support For CDC Health Workforce And Systems Capacity Development In Multiple Countries,HHS-CDC,Centers for Disease Control and Prevention,100000,1,"CDC
Procurement and Grants Office (PGO)
Technical Information Management Section (TIMS)
Phone 770-488-2700",,pgotim@cdc.gov,,,03/18/2010,06/01/2010,03/18/2010 14:18:18,Synopsis 1
ED-GRANTS-060915-001,Office of Innovation and Improvement (OII): Skills for Success Program CFDA Number 84.215H,ED,Department of Education,2000000,4,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6288
EducationGrantInquiries@ed.gov
Program Manager:
Kelly Terpak, 
U.S. Department of Education, 
400 Maryland Avenue SW., Room 4C107, 
Washington, DC 20202-5930. 
Telephone: (202) 205-5231. FAX: (202) 205-5631.
e-Mail: Kelly.Terpak@ed.gov",,Kelly.Terpak@ed.gov,,,06/09/2015,07/29/2015,06/09/2015 9:16:09,Synopsis 1
DHS-10-NPD-053-000-01,FY 2010 Citizen Corps Program - Strategy for Improving the Publics Response to Suspicious Activity,DHS-DHS,Department of Homeland Security - FEMA,200000,1,"FEMA Call Center
(866) 927-5646
ASK-GMD@dhs.gov",,ASK-GMD@dhs.gov,,,05/03/2010,05/14/2010,05/03/2010 10:45:03,Synopsis 2
72062320APS00001,East Africa Private Sector Engagement in Support of Prosper Africa APS,USAID-EAF,East Africa USAID-Kenya,,,"Jennifer Kiiru
Acquisition and Assistance Specialist
Jkiiru@usaid.gov",,Jkiiru@usaid.gov,,,11/22/2019,11/21/2020,11/22/2019 5:09:22,Synopsis 1
STI40020GR0025,Increasing Financial Integrity and Strengthening Financial Stability and Inclusion in Tajikistan,DOS-TJK,U.S. Mission to Tajikistan,987750,1,DushanbePolEconGrant@state.gov,,DushanbePolEconGrant@state.gov,,,05/12/2020,07/10/2020,05/12/2020 22:22:12,Synopsis 1
FTA-2020-007-TR,FY 2020 Competitive Funding Opportunity: Public Transportation on Indian Reservations Program,DOT-FTA,DOT/Federal Transit Administration,5000000,30,"Amy Fong
FTA Office of Program Management
202-366-0876",,amy.fong@dot.gov,,,05/26/2020,08/24/2020,05/26/2020 14:59:26,Synopsis 1
USDA-NRCS-CA-18-02,California Forestry Assistance,USDA-NRCS,Natural Resources Conservation Service,3000000,8,"Michele Devaney
Grants Management Specialist
Phone 801-524-4587",,michele.devaney@wdc.usda.gov,,,06/27/2018,08/06/2018,07/19/2018 16:18:19,Synopsis 2
DARPA-BAA-10-55,Defense Sciences Research and Technology,DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,BAA Coordinator,,DARPA-BAA-10-55@darpa.mil,,,05/07/2010,08/09/2011,05/11/2011 7:39:11,Synopsis 4
BJA-2010-2751,BJA FY 10 Project Safe Neighborhoods (PSN),USDOJ-OJP-BJA,Bureau of Justice Assistance,,94,"Al Roddy
Technical Application Support
202-353-1881",,Al.Roddy@usdoj.gov,,,05/10/2010,06/10/2010,05/10/2010 13:33:10,Synopsis 1
DHS-12-NPD-007-000-01,FY 2012 Homeland Security Preparedness Technical Assistance Program,DHS-DHS,Department of Homeland Security - FEMA,275000,1,"GMD-Systems-Branch@fema.gov
",,GMD-Systems-Branch@fema.gov,,,08/17/2012,08/24/2012,08/17/2012 16:09:17,Synopsis 2
DARPA-BAA-14-21,Memex,DOD-DARPA-I2O,DARPA - Information Innovation Office,,,"Dr. Christopher White, Program Manager, DARPA/I20",,memex@darpa.mil,,,02/04/2014,04/08/2014,02/04/2014 14:39:04,Synopsis 1
INL16GR0039-AMETANZANIA-WILDLIFE05192016,Combating Wildlife Trafficking in Tanzania,DOS-INL,Bureau of International Narcotics-Law Enforcement,,5,"Cheryl Price
Grants Management Specialist",,PriceCH@state.gov,,,05/19/2016,07/18/2016,05/19/2016 0:29:19,Synopsis 1
CDC-RFA-CK17-1707,"CDC-Mexico Cooperative Agreement for Surveillance, Epidemiology, and Laboratory Capacity",HHS-CDC-NCEZID,Centers for Disease Control - NCEZID,5000000,1,"Technical Information Management Section
Department of Health and Human Services
CDC Office of Financial Resources
Office of Grants Services
2920 Brandywine Road, MS E-14
Atlanta, GA 30341
Telephone: 770-488-2700
E-mail: ogstims@cdc.gov",,ogstims@cdc.gov,,,02/13/2017,04/13/2017,02/15/2017 9:32:15,Synopsis 4
RFI-521-17-000015,Improving Governance in Haiti Program (IGHI),USAID-HAI,Haiti USAID-Port Au Prince,,,"Marva Butler
Contracting and Agreement Officer
Phone 202-216-6260",,mbutler@usaid.gov,,,06/28/2017,07/14/2017,06/28/2017 9:43:28,Synopsis 1
SFOP0003638,FY18 DRL Internet Freedom APS,DOS-DRL,Bureau of Democracy Human Rights and Labor,,0,"Christine Arroyo
arroyoce@state.gov
",,arroyoce@state.gov,,,12/18/2017,02/12/2018,12/18/2017 10:59:18,Synopsis 1
INL18GR0055-BOSNIA-FORENSIC-06062018,Building Forensic Accounting Capacity in Bosnia and Herzegovina,DOS-INL,Bureau of International Narcotics-Law Enforcement,600000,1,Liam O’Flanagan,,O’FlanaganLJ@state.gov,,,06/06/2018,08/06/2018,06/06/2018 18:56:06,Synopsis 1
BAA-UKR-CYBERSECURITY-2019,USAID/Ukraine Broad Agency Announcement for Cybersecurity for Critical Infrastructure in Ukraine,USAID-UKR,Ukraine USAID-Kiev,,,"Elena Parinova
Acquisition and Assistance Specialist",,eparinova@usaid.gov,,,02/15/2019,04/15/2019,04/09/2019 10:45:09,Synopsis 7
SFOP0005795,Strengthening Effective Counter Terrorist Financing Compliance,DOS-SCT,Bureau of Counterterrorism,,0,BalentsNM@state.gov,,,,,04/26/2019,06/10/2019,05/23/2019 10:45:23,Synopsis 2
DHS-20-GPD-056-00-01,Fiscal Year (FY) 2020 Port Security Grant Program (PSGP),DHS-DHS,Department of Homeland Security - FEMA,100000000,280,"User, System
ndgrants@fema.dhs.gov",,ndgrants@fema.dhs.gov,,,02/14/2020,04/30/2020,03/23/2020 12:27:23,Synopsis 2
CDC-RFA-GH11-1149,Program to Provide Technical Assistance and Build Capacity of the South African National Department of Health and Provincial Departments of Health to Strengthen the National Health Information System in the Republic of South Africa under PEPFAR,HHS-CDC,Centers for Disease Control and Prevention,20000000,5,"CDC
Procurement and Grants Office (PGO)
Technical Information Management Section (TIMS)
Phone 770-488-2700",,pgotim@cdc.gov,,,02/24/2011,04/21/2011,03/25/2011 12:29:25,Synopsis 3
BJA-2012-3277,BJA FY 12 Tribal Justice System Capacity Building Training and Technical Assistance Program,USDOJ-OJP-BJA,Bureau of Justice Assistance,,,"For technical assistance with submitting the application, contact the Grants.gov Customer Support Hotline at 8005184726 or 6065455035 or via e-mail to support@grants.gov.",,support@grants.gov,,,04/10/2012,05/31/2012,04/10/2012 10:57:10,Synopsis 1
BJA-2012-3182,BJA FY 12 Enhanced Collaborative Model to Combat Human Trafficking,USDOJ-OJP-BJA,Bureau of Justice Assistance,,,"For technical assistance with submitting the application, contact the Grants.gov Customer Support Hotline at 8005184726 or 6065455035 or via e-mail to support@grants.gov.",,support@grants.gov,,,02/01/2012,03/29/2012,02/01/2012 7:33:01,Synopsis 1
BJA-2013-3526,BJA FY 13 Harold Rogers Prescription Drug Monitoring Program,USDOJ-OJP-BJA,Bureau of Justice Assistance,,,"For technical assistance with submitting the application, contact the Grants.gov Customer Support Hotline at 8005184726 or 6065455035, or via e-mail to support@grants.gov.",,support@grants.gov,,,03/07/2013,05/02/2013,03/07/2013 7:41:07,Synopsis 1
BJA-2014-3767,BJA FY 14 Harold Rogers Prescription Drug Monitoring Program,USDOJ-OJP-BJA,Bureau of Justice Assistance,,,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 800-518-4726 or 606-545-5035, or via e-mail to support@grants.gov. The Grants.gov Support Hotline hours of operation are 24 hours a day, 7 days a week, except federal holidays.",,support@grants.gov,,,03/11/2014,05/06/2014,03/11/2014 9:32:11,Synopsis 1
BJA-2016-8991,Smart Prosecution Initiative,USDOJ-OJP-BJA,Bureau of Justice Assistance,5000000,9,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 800-518-4726 or 606-545-5035, or via e-mail to support@grants.gov. The Grants.gov Support Hotline hours of operation are 24 hours a day, 7 days a week, except federal holidays. 
support@grants.gov
",,support@grants.gov,,,02/11/2016,03/28/2016,02/11/2016 17:08:11,Synopsis 2
EP-IDS-14-012,Enhance global health security and support International Health Regulations (2005),HHS-OS-ASPR,Assistant Secretary for Preparedness and Response,,,"Grants.gov Contact Center
Phone Number: 1-800-518-4726

Hours of operation are 24 hours a day, 7 days a week. The contact center is closed on federal holidays.
support@grants.gov
",,support@grants.gov,,,07/24/2014,08/15/2014,07/29/2014 11:46:29,Synopsis 2
BJA-2012-3193,National Justice Information Sharing (JIS) Initiative,USDOJ-OJP-BJA,Bureau of Justice Assistance,,,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 800-518-4726 or 6065455035 or via e-mail to support@grants.gov.",,support@grants.gov,,,03/01/2012,04/19/2012,03/01/2012 10:59:01,Synopsis 1
BAA-AFRL-RQKMA-2016-0007,"Air Force Research Laboratory, Materials & Manufacturing Directorate, Functional Materials and Applications (AFRL/RXA) Two-Step Open BAA",DOD-AFRL,Air Force -- Research Lab,42500000,5,"Gary R. Victor
Contract Negotiator
Phone 937-713-9887",,gary.victor@us.af.mil,,,04/19/2016,04/19/2021,04/19/2016 14:33:19,Synopsis 1
F18AS00240,Combating Wildlife Trafficking,DOI-FWS,Fish and Wildlife Service,1200000,1," Devon Larson 703-358-2134
devon_larson@fws.gov
",,devon_larson@fws.gov,,,07/16/2018,07/21/2018,07/16/2018 11:20:16,Synopsis 1
N00014-20-S-F001,FY2020 Department of Navy (DoN) Historically Black Colleges and Universities/Minority Institutions (HBCU/MI) Program,DOD-ONR,Office of Naval Research,,,"Veronica Lacey
Lead Grants Specialist",,veronica.lacey@navy.mil,,,11/06/2019,03/04/2020,11/06/2019 8:05:06,Synopsis 1
DHS-20-GPD-008-00-01,Fiscal Year (FY) 2020 Nonprofit Security Grant Program (NSGP),DHS-DHS,Department of Homeland Security - FEMA,90000000,56,"User, System
ndgrants@fema.dhs.gov",,ndgrants@fema.dhs.gov,,,02/14/2020,04/30/2020,04/21/2020 16:20:21,Synopsis 2
SFOP0006687,West Africa Counterterrorism Finance Initiative,DOS-SCT,Bureau of Counterterrorism,,0,"Hunter Watts, wattsha@state.gov",,,,,04/30/2020,05/18/2020,05/05/2020 16:45:05,Synopsis 1
DHS-10-GPD-075-000-01,Fiscal Year 2010 Freight Rail Security Grant Program (FRSGP),DHS-DHS,Department of Homeland Security - FEMA,15000000,40,"Centralized Scheduling & Information Desk (CSID) Help Line
(800) 368-6498
askcsid@dhs.gov 

FEMA Call Center 
(866) 927-5646
ASK-GMD@dhs.gov ",,ASK-GMD@dhs.gov,,,12/08/2009,02/18/2010,01/29/2010 15:45:29,Synopsis 3
BAA11-007,Expeditionary Maneuver Warfare and Combating Terrorism Basic and Applied Research and Advanced Technology Development,DOD-ONR,Office of Naval Research,,,"Lynnette Desorcie 
703-696-4323",,lynnette.desorcie@navy.mil,,,12/03/2010,05/06/2011,04/14/2011 8:52:14,Synopsis 2
BJA-2016-9114,Enhanced Collaborative Model to Combat Human Trafficking,USDOJ-OJP-BJA,Bureau of Justice Assistance,22500000,15,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 8005184726 or 6065455035, or via email to support@grants.gov. The Grants.gov Support Hotline hours of operation are 24 hours a day, 7 days a week, except federal holidays. 
support@grants.gov
",,support@grants.gov,,,03/08/2016,05/10/2016,03/16/2016 14:12:16,Synopsis 3
BAA-RQKH-2015-0001,"Methods and Technologies for Personalized Learning, Modeling and Assessment",DOD-AFRL,Air Force -- Research Lab,49000000,10,"Alycia Armbruster
Contracting Officer
937-713-9870",,alycia.armbruster@us.af.mil,,,01/15/2015,11/17/2019,03/14/2019 7:32:14,Synopsis 5
RFA-696-11-000003,Rwanda Dairy Competitiveness Program II (RDCP II),USAID-UGA,Uganda USAID-Kampala,15000000,1,"Geraldine Kyazze
A&A Specialist
Phone 252596400",,gkyazze@usaid.gov,,,07/15/2011,08/15/2011,07/15/2011 6:58:15,Synopsis 1
DHS-10-GPD-056-000-01,Fiscal Year 2010 Port Security Grant Program (PSGP),DHS-DHS,Department of Homeland Security - FEMA,288000000,300,"Centralized Scheduling & Information Desk (CSID) Help Line
(800) 368-6498
askcsid@dhs.gov 

FEMA Call Center 
(866) 927-5646
ASK-GMD@dhs.gov ",,ASK-GMD@dhs.gov,,,12/08/2009,02/18/2010,01/29/2010 15:40:29,Synopsis 4
72051420RFA00011,Youth Resilience Activity (YRA),USAID-COL,Colombia USAID-Bogota,,1,"Paula Cubillos
Senior Acquisition Specialist
Phone 2022166213",,pcubillos@usaid.gov,,,04/22/2020,05/25/2020,05/12/2020 10:50:12,Synopsis 1
HR001117S0015,Strategic Technologies,DOD-DARPA-STO,DARPA - Strategic Technology Office,,,"BAA Coordinator
HR001117S0015@darpa.mil",,HR001117S0015@darpa.mil,,,03/22/2017,03/01/2019,02/19/2019 16:30:19,Synopsis 8
CDC-RFA-GH15-1556,Comprehensive Approaches to Strengthening the Health System and HIV Response in the Republic of Mozambique under the President's Emergency Plan for AIDS Relief (PEPFAR),HHS-CDC,Centers for Disease Control and Prevention,22000000,1,"Centers for Disease Control and Prevention (CDC)
Procurement and Grants Office (PGO)
Technical Information Management Section (TIMS)
E-mail: pgotim@cdc.gov
Phone:  770-488-2700
",,pgotim@cdc.gov,,,08/26/2014,10/10/2014,08/26/2014 10:32:26,Synopsis 1
CDC-RFA-GH15-155603CONT17,Comprehensive Approaches to Strengthening the Health System and HIV response in The Republic of Mozambique under the President’s Emergency Plan for AIDS Relief,HHS-CDC-CGH,Centers for Disease Control - CGH,0,10,Centers for Disease Control and Prevention (CDC) Office of Grant Services (OGS) Technical Information Management Section (TIMS) Phone: 770-488-2700,,ogstims@cdc.gov,,,02/02/2017,04/07/2017,04/22/2020 9:05:22,Synopsis 7
N40080-18-2-0001,"Shoreline Restoration NSA, Annapolis, Md ",DOD-ONR-FAC,NAVAL FACILITIES ENGINEERING COMMAND,,2,"Nadia Shelby
Contract Specialist 
Phone 301.295.0531",,nadia.shelby@navy.mil,,,03/07/2018,04/30/2018,04/26/2018 13:52:26,Synopsis 2
HR001120S0016,Detect It with Gene Editing Technologies (DIGET),DOD-DARPA-BTO,DARPA - Biological Technologies Office,,,"BAA Coordinator
DIGET@darpa.mil",,DIGET@darpa.mil,,,11/27/2019,02/25/2020,02/12/2020 10:58:12,Synopsis 2
HHS-2010-ONC-TR-005,"American Recovery and Reinvestment Act of 2009, Health Information Strategic Health IT Advanced Research Projects",HHS-OS-ONC,Office of the National Coordinator,60000000,4,"Wil Yu
Project Officer
U.S. Department of Health and Human Services
Office of the National Coordinator for Health Information Technology
Telephone: 202-690-5920

",,Wil.Yu@HHS.gov,,,12/17/2009,01/25/2010,01/26/2010 18:20:26,Synopsis 2
N62473-12-R-FBBATS,"Bat Surveys and Monitoring on Naval Weapons Station Seal Beach Detachment Fallbrook, CA",DOD-ONR-FAC,NAVAL FACILITIES ENGINEERING COMMAND,40494,1,"Linda Protocollo
Contract Specialist
Phone 619-532-1159",,linda.protocollo@navy.mil,,,04/14/2012,05/15/2012,04/14/2012 16:42:14,Synopsis 1
N62473-16-2-0003,"Habitat Management and Surveys, Plant Nursery Management and Invasive Species Control at Defense Fuel Support San Pedro, California",DOD-ONR-FAC,NAVAL FACILITIES ENGINEERING COMMAND,,1,"Reagan  Pablo
Contract Specialist
Phone 619.532.2090",,reagan.s.pablo@navy.mil,,,03/14/2016,04/13/2016,03/14/2016 10:35:14,Synopsis 1
FOA-AFRL-AFOSR-2017-0001,CENTER OF EXCELLENCE: Trusted Human-Machine Teaming,DOD-AFOSR,Air Force Office of Scientific Research,5000000,1,"King Nwoha
Procurement Analyst",,afosr.baa@us.af.mil,,,06/16/2017,08/18/2017,06/15/2017 13:18:15,Synopsis 1
DARPA-BAA-10-65,Maximum Mobility and Manipulation (M3),DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,BAA Coordinator,,DARPA-BAA-10/65@darpa.mil,,,05/24/2010,08/02/2010,06/30/2010 16:04:30,Synopsis 3
DHS-10-GPD-078-000-01,Fiscal Year 2010 Buffer Zone Protection Program (BZPP),DHS-DHS,Department of Homeland Security - FEMA,48000000,41,"Centralized Scheduling & Information Desk (CSID) Help Line
(800) 368-6498
askcsid@dhs.gov 

FEMA Call Center 
(866) 927-5646
ASK-GMD@dhs.gov ",,ASK-GMD@dhs.gov,,,12/08/2009,02/18/2010,01/29/2010 15:50:29,Synopsis 3
2012-NIST-MSE-01,Measurement Science and Engineering (MSE) Research Grant Programs,DOC-NIST,National Institute of Standards and Technology,,,"Christopher Hunton
Grants Technical Assistant
Phone 301-975-5718",,christopher.hunton@nist.gov,,,12/07/2011,01/28/2013,01/31/2013 15:36:31,Synopsis 3
DARPA-BAA-12-20,Extended Solids,DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,BAA Coordinator,,DARPA-BAA-12-20@darpa.mil,,,02/17/2012,05/22/2012,03/02/2012 11:10:02,Synopsis 2
DARPA-BAA-12-31,Butyrylcholinesterase Expression in Plants,DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,BAA Coordinator,,DARPA-BAA-12-31@darpa.mil,,,02/16/2012,05/17/2012,03/21/2012 15:04:21,Synopsis 3
