,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
1841,Effects of Biomedical Risk Factors on Neuro-cognition Using MRI: Long term follow-up of the Diabetes Control & Complications Trial/Epidemiology of Diabetes Interventions and Complications Study Cohort,NIDDK,9879993,3DP3DK114812-01S2,3,DP3,DK,114812,1,S2,,1955882,"JACOBSON, ALAN M",Not Applicable,NYU WINTHROP HOSPITAL,,2019,401596,
1842,Sex Differences in Alcohol-Related Neurotoxicity During Adolescence,NIAAA,9703801,5R01AA017664-09,5,R01,AA,17664,9,,,7758165,"NAGEL, BONNIE J",Not Applicable,OREGON HEALTH & SCIENCE UNIVERSITY,,2019,406172,Pittsburgh Biomedical Informatics Training Program
1843,Pittsburgh Biomedical Informatics Training Program,NLM,8129039,3T15LM007059-24S1,3,T15,LM,7059,24,S1,,7135555,"JACOBSON, REBECCA S",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2010,216000,
1844,401739,Pittsburgh Biomedical Informatics Training Program,NLM,7879441,5T15LM007059-24,5,T15,LM,7059,24,,,7135555,"JACOBSON, REBECCA S",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2010,340792
1845,Pittsburgh Biomedical Informatics Training Program,NLM,7870852,3T15LM007059-23S1,3,T15,LM,7059,23,S1,,7135555,"JACOBSON, REBECCA S",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,YES,2009,1041647,
1846,19251,Pittsburgh Biomedical Informatics Training Program,NLM,7651388,5T15LM007059-23,5,T15,LM,7059,23,,,7135555,"JACOBSON, REBECCA S",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2009,654939
1847,Pittsburgh Biomedical Informatics Training Program,NLM,7457679,5T15LM007059-22,5,T15,LM,7059,22,,,7135555,"JACOBSON, REBECCA S",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2008,667354,
1848,Sex Differences in Alcohol-Related Neurotoxicity During Adolescence,NIAAA,9056323,2R01AA017664-06A1,2,R01,AA,17664,6,A1,,7758165,"NAGEL, BONNIE J",Not Applicable,OREGON HEALTH & SCIENCE UNIVERSITY,,2016,Simulation Algorithms for Spatial Pattern Recognition,NCI
1849,Machine Learning for Detecting Malaria and Other Infectious Diseases,NLM,10016026,1ZIALM010006-04,1,ZIA,LM,10006,4,,,14763163,"JAEGER, STEFAN ",Not Applicable,NATIONAL LIBRARY OF MEDICINE,,2019,888509,
1850,Lung Navigation System for Localizing and Resecting Nodules,NIBIB,9786235,5R01EB025964-02,5,R01,EB,25964,2,,,11115101,"JAGADEESAN, JAYENDER  ","BUENO, RAPHAEL ",BRIGHAM AND WOMEN'S HOSPITAL,,2019,402750,
1851,High resolution mapping of the genetic risk for disease in the aging brain,NIA,9923542,5R01AG059874-03,5,R01,AG,59874,3,,,9233106,"JAHANSHAD, NEDA ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2020,619917,
1852,High resolution mapping of the genetic risk for disease in the aging brain,NIA,9750590,5R01AG059874-02,5,R01,AG,59874,2,,,9233106,"JAHANSHAD, NEDA ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2019,619917,
1853,High resolution mapping of the genetic risk for disease in the aging brain,NIA,9578938,1R01AG059874-01,1,R01,AG,59874,1,,,9233106,"JAHANSHAD, NEDA ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2018,619917,
1854,Machine Learning in Chemistry and Biology,NIGMS,7087989,5R01GM070481-02,5,R01,GM,70481,2,,,6687629,"JAIN, AJAY N",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,2006,273403,
1855,Machine Learning in Chemistry and Biology,NIGMS,6965574,1R01GM070481-01A2,1,R01,GM,70481,1,A2,,6687629,"JAIN, AJAY N",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,2005,279983,
1856,The TEEN Study: The Impact of Adolescent Drinking on Connectivity in the Brain,NIAAA,8544962,5U01AA021691-02,5,U01,AA,21691,2,,,7758165,"NAGEL, BONNIE J",Not Applicable,OREGON HEALTH & SCIENCE UNIVERSITY,,2013,Binding-Site Modeling with Multiple-Instance Machine-Learning,NIGMS
1857,The TEEN Study: The Impact of Adolescent Drinking on Connectivity in the Brain,NIAAA,8413177,1U01AA021691-01,1,U01,AA,21691,1,,Alcohol Use: Nonlinearities in Intraindividual Variables,OREGON HEALTH & SCIENCE UNIVERSITY,,NIAAA,6947209,5F31AA015238-02,5,F31,AA
1858,Alcohol Use: Nonlinearities in Intraindividual Variables,NIAAA,6835341,1F31AA015238-01,1,F31,AA,15238,1,,,7890253,"JAJODIA, ARCHANA ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2004,33837,
1859,Studying the Laryngeal Mechanisms Underlying Dysphonia in Connected Speech,NIDCD,9901502,5K01DC017751-02,5,K01,DC,17751,2,,,14586586,"NAGHIBOLHOSSEINI, MARYAM ",Not Applicable,MICHIGAN STATE UNIVERSITY,,2020,137795,TOPIC PREDICTION FOR AUGMENTATIVE COMMUNICATION SYSTEMS
1860,Mapping Brain-Cognition Relationships which Encode Cognitive Deficits in Refractory Epilepsy,NINDS,9640497,5R03NS103000-02,5,R03,NS,103000,2,,,8630161,"JAMES, GEORGE ANDREW",Studying the Laryngeal Mechanisms Underlying Dysphonia in Connected Speech,2019,NIDCD,9720522,1K01DC017751-01,1
1861,SOLUTION STRUCTURE OF DNA AND DNA-PROTEIN COMPLEXES,NIGMS,2605283,3R01GM039247-09S1,3,R01,GM,39247,9,S1,,1864701,"JAMES, THOMAS L",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,1997,64549,
1862,Novel use of mHealth data to identify states of vulnerability and receptivity to JITAIs,NCI,9768419,5U01CA229437-02,5,U01,CA,229437,2,,,10531514,"NAHUM-SHANI, INBAL  ","WETTER, DAVID W",UNIVERSITY OF MICHIGAN AT ANN ARBOR,,2019,SOLUTION STRUCTURE OF DNA AND DNA-PROTEIN COMPLEXES,NIGMS
1863,SOLUTION STRUCTURE OF DNA AND DNA-PROTEIN COMPLEXES,NIGMS,3296046,2R01GM039247-06A1,2,R01,GM,39247,6,A1,,1864701,"JAMES, THOMAS L",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,1993,155609,
1864,Novel use of mHealth data to identify states of vulnerability and receptivity to JITAIs,NCI,9576355,1U01CA229437-01,1,U01,CA,229437,1,,,10531514,"NAHUM-SHANI, INBAL  ","WETTER, DAVID W",UNIVERSITY OF MICHIGAN AT ANN ARBOR,,2018,ADVANCING MEDICAL EXPLANATORY SYSTEMS,NLM
1865,ADVANCING MEDICAL EXPLANATORY SYSTEMS,NLM,3474490,5R29LM005074-03,5,R29,LM,5074,3,,,2408357,"JAMIESON, PATRICK W",Not Applicable,UNIVERSITY OF KANSAS MEDICAL CENTER,,1992,92325,
1866,Hemostasis; Hematoma Expansion; and Outcomes After Intracerebral Hemorrhage,NINDS,9902563,5R01NS110779-02,5,R01,NS,110779,2,,,8148854,"NAIDECH, ANDREW M",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2020,613310,ADVANCING MEDICAL EXPLANATORY SYSTEMS
1867,Hemostasis; Hematoma Expansion; and Outcomes After Intracerebral Hemorrhage,NINDS,9714475,1R01NS110779-01,1,R01,NS,110779,1,,,8148854,"NAIDECH, ANDREW M",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO,,2019,632829,HistoTools:  A suite of digital pathology tools for quality control; annotation and dataset identification
1868,Impact of Multisensory Function on Symptomatology in Young Children with ASD,NIMH,9692797,5K01MH113819-02,5,K01,MH,113819,2,,,10796618,"JAO KEEHN, R. JOANNE ",Not Applicable,SAN DIEGO STATE UNIVERSITY,,2019,195916,
1869,Mechanisms and functional consequences of receptor organization at membranes,NIGMS,9899674,3R35GM119619-04S1,3,R35,GM,119619,4,S1,,10250015,"JAQAMAN, KHULOUD ",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER,,2019,CorBand: A novel wearable wrist sensor for heart failure remote monitoring,NHLBI
1870,CorBand: A novel wearable wrist sensor for heart failure remote monitoring,NHLBI,9202845,2R44HL125001-02,2,R44,HL,125001,2,,,12059403,"NAIMA, REZA ",Not Applicable,"RETHINK MEDICAL, INC.",,2016,Ultrasonic Registration of Knee Anatomy to MRI Images,NIAMS
1871,Mini Bone-Attached Robot for Joint Arthroplasty,NIAMS,7117290,5R01AR052700-02,5,R01,AR,52700,2,,,6168234,"JARAMAZ, BRANISLAV ",Not Applicable,WESTERN PENNSYLVANIA HOSPITAL,,2006,140714,
1872,Mini Bone-Attached Robot for Joint Arthroplasty,NIAMS,6957258,1R01AR052700-01,1,R01,AR,52700,1,,,6168234,"JARAMAZ, BRANISLAV ",Not Applicable,WESTERN PENNSYLVANIA HOSPITAL,,2005,172920,
1873,A Brain Atlas for Mapping Connectivity in Focal Epilepsy,NINDS,9442865,5R01NS089212-04,5,R01,NS,89212,4,,,14261592,"NAIR, DILEEP  ","LEAHY, RICHARD M;MOSHER, JOHN COMPTON",CLEVELAND CLINIC LERNER COM-CWRU,,2018,531286,Charting a New Course for Heart Failure: From Discovery to Data
1874,Noninvasive imaging-based electrophysiology using microelectronic devices,NINDS,8850914,5R01NS076462-05,5,R01,NS,76462,5,,,7771610,"JASANOFF, ALAN ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2015,392217,
1875,CRCNS: Optimization of closed-loop control of gamma oscillations,NIMH,10002297,5R01MH122023-02,5,R01,MH,122023,2,,,8417113,"NAIR, SATISH S",Not Applicable,UNIVERSITY OF MISSOURI-COLUMBIA,,2020,284005,Noninvasive imaging-based electrophysiology using microelectronic devices
1876,Noninvasive imaging-based electrophysiology using microelectronic devices,NINDS,8463264,5R01NS076462-03,5,R01,NS,76462,3,,,7771610,"JASANOFF, ALAN ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2013,380336,
1877,CRCNS: Optimization of closed-loop control of gamma oscillations,NIMH,9914633,1R01MH122023-01,1,R01,MH,122023,1,,,8417113,"NAIR, SATISH S",Not Applicable,UNIVERSITY OF MISSOURI-COLUMBIA,,2019,297755,Noninvasive imaging-based electrophysiology using microelectronic devices
1878,Noninvasive imaging-based electrophysiology using microelectronic devices,NINDS,8180844,1R01NS076462-01,1,R01,NS,76462,1,,,7771610,"JASANOFF, ALAN ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2011,360321,
1879,CRCNS: US-French Research Proposal: Principles of Inference through Neural Dynamics   ,NIMH,9916986,1R01MH122025-01,1,R01,MH,122025,1,,,10935235,"JAZAYERI, MEHRDAD ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,2019,219425,
1880,KNOWLEDGE ELICITATION FOR DEVELOPMENTAL RISK ASSESSMENT,A Computer Aided Diagnosis(CAD) Algorithm for Identification of Dysp; dklasia in Patients with Barrett Esophagus,NCI,10010407,2R44CA232860-02,3253586,,10368077,7R01ES005307-03,"NAMATI, EMAN  ",7,R01,ES,5307,3,,"NINEPOINT MEDICAL, INC.",,
1881,KNOWLEDGE ELICITATION FOR DEVELOPMENTAL RISK ASSESSMENT,NIEHS,3253584,1R01ES005307-01,1,R01,ES,5307,1,,,3176071,"JELOVSEK, FREDERICK R",Not Applicable,UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK,,1990,59956,
1882,A Computer Aided Diagnosis(CAD) Algorithm for Identification of Dysplasia in Patients with Barrett Esophagus,NCI,9622504,1R43CA232860-01,1,R43,CA,232860,1,,,10368077,"NAMATI, EMAN  ","BOUMA, BRETT E","NINEPOINT MEDICAL, INC.",,2018,217888,COMPUTATIONAL MODEL OF SELF ORGANIZING AUDITORY MAPS
1883,225000,,,,,,,,,,,,,,,,,,
1884,CLASSIFYING CERVIX TISSUE PATTERNS WITH TEXTURE ANALYSIS,NCI,2108075,1R43CA065233-01,1,R43,CA,65233,1,,,1964448,"JI, QIANG ",Not Applicable,"WESTERN RESEARCH COMPANY, INC.",,1994,71841,
1885,Deep learning methods to predict the function of genetic variants in orofacial clefts,NIDCR,9764346,5R03DE027711-02,5,R03,DE,27711,2,,,10729844,"JIA, PEILIN ",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,,2019,154000,
1886,Deep learning methods to predict the function of genetic variants in orofacial clefts,NIDCR,9764346,5R03DE027711-02,5,R03,DE,27711,2,,,10729844,"JIA, PEILIN ",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,,2019,154000,Computing; Optimizing; and Evaluating Quantitative Cancer Imaging Biomarkers
1887,SYSTEMATIC DESIGN ENGINEERING CONTROL FOR ROBOTIC,NIOSH,3420453,5R01OH002230-02,5,R01,OH,2230,2,,,3175646,"JIANG, BERNARD C",Not Applicable,AUBURN UNIVERSITY AT AUBURN,,1989,18859,
1888,SYSTEMATIC DESIGN ENGINEERING CONTROL FOR ROBOTIC,NIOSH,3420452,1R01OH002230-01A1,1,R01,OH,2230,1,A1,,3175646,"JIANG, BERNARD C",Not Applicable,AUBURN UNIVERSITY AT AUBURN,,1988,34631,
1889,Intelligent treatment planning for cancer radiotherapy,NCI,9878810,5R01CA237269-02,5,R01,CA,237269,2,,,7732080,"JIANG, STEVE BIN ","JIA, XUN ;NGUYEN, DAN ",UT SOUTHWESTERN MEDICAL CENTER,,2020,490133,
1890,Intelligent treatment planning for cancer radiotherapy,NCI,9712062,1R01CA237269-01,1,R01,CA,237269,1,,,7732080,"JIANG, STEVE BIN ","JIA, XUN ;NGUYEN, DAN ",UT SOUTHWESTERN MEDICAL CENTER,,2019,584676,
1891,A New Generation Clinical Decision Support System,NLM,9281905,5R01LM011663-04,5,R01,LM,11663,4,,,9718912,"JIANG, XIA  ","NEAPOLITAN, RICHARD E",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2017,460025,
1892,A New Generation Clinical Decision Support System,NLM,9067517,5R01LM011663-03,5,R01,LM,11663,3,,,9718912,"JIANG, XIA  ","NEAPOLITAN, RICHARD E",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2016,460025,
1893,A New Generation Clinical Decision Support System,NLM,8856659,5R01LM011663-02,5,R01,LM,11663,2,,,9718912,"JIANG, XIA  ","NEAPOLITAN, RICHARD E",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2015,Mid-frontal delta/theta rhythms and cognitive control in PD,
1894,A New Generation Clinical Decision Support System,NLM,8695607,1R01LM011663-01A1,1,R01,LM,11663,1,A1,,9718912,"JIANG, XIA  ","NEAPOLITAN, RICHARD E",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,,2014,582816,
1895,Mid-frontal delta/theta rhythms and cognitive control in PD,NINDS,9730653,5R01NS100849-03,5,R01,NS,100849,3,,,10909314,"NARAYANAN, NANDAKUMAR ",Not Applicable,UNIVERSITY OF IOWA,,2019,429127,Estimating Neural Network Precision for Cancer Diagnosis
1896,Estimating Neural Network Precision for Cancer Diagnosis,NCI,6422575,1R21CA093989-01,1,R21,CA,93989,1,,,6719383,"JIANG, YULEI ",Not Applicable,UNIVERSITY OF CHICAGO,,2002,182408,
1897,Mid-frontal delta/theta rhythms and cognitive control in PD,NINDS,9569720,5R01NS100849-02,5,R01,NS,100849,2,,,10909314,"NARAYANAN, NANDAKUMAR ",Not Applicable,UNIVERSITY OF IOWA,,2018,442145,Neural Network Prediction of Prostate Cancer Progression
1898,Neural Network Prediction of Prostate Cancer Progression,NCI,6531251,1R21CA097308-01,1,R21,CA,97308,1,,,6719383,"JIANG, YULEI ",Not Applicable,UNIVERSITY OF CHICAGO,,2002,144835,
1899,Enabling of a wireless and remotely monitored bi-ventricular pacing device through the internet of medical things for heart failure patients,NHLBI,10007981,1R43HL149451-01A1,1,R43,HL,149451,1,A1,,10540197,"JIMENEZ, JORGE HERNAN",Not Applicable,BIONET SONAR,,2020,444327,
1900,467515,Wireless ultrasonic powering and monitoring of Left Ventricular Assist Devices through the Internet of Medical Things,NHLBI,10007683,1R43HL152767-01,1,R43,HL,152767,1,,,10540197,"JIMENEZ, JORGE HERNAN",Not Applicable,BIONET SONAR,,2020,468992
1901,Dynamics of Vocal Tract Shaping,NIDCD,9605700,5R01DC007124-13,5,R01,DC,7124,13,,,7926211,"NARAYANAN, SHRIKANTH ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2019,467515,Enabling of a Wireless and Remotely Monitored Deep Brain Stimulation System through the Internet of Medical Things for Parkinson's Disease Patients
1902,Dynamics of Vocal Tract Shaping,NIDCD,9390471,5R01DC007124-12,5,R01,DC,7124,12,,,7926211,"NARAYANAN, SHRIKANTH ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2018,467515,REAL TIME AUTOMATED SEIZURE PREDICTION AND DETECTION
1903,Dynamics of Vocal Tract Shaping,NIDCD,9177754,5R01DC007124-11,5,R01,DC,7124,11,,,7926211,"NARAYANAN, SHRIKANTH ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2017,433810,AI Software for Science Education Related to Drug Abuse
1904,Accessible Artificial Intelligence Tutoring Software (Phase II SBIR),NEI,7404392,5R44EY016251-03,5,R44,EY,16251,3,,,7977096,"JOHNSON, BENNY G",Not Applicable,"QUANTUM SIMULATIONS, INC.",,2008,383858,
1905,Accessible Artificial Intelligence Tutoring Software (Phase II SBIR),NIDCD,9030116,2R01DC007124-10A1,7220194,2,R01,DC,7124,10,A1,2R44EY016251-02,7926211,2,R44,EY,16251,2,
1906,Accessible Artificial Intelligence Tutoring Software,NEI,6880607,1R43EY016251-01,1,R43,EY,16251,1,,,7977096,"JOHNSON, BENNY G",Not Applicable,"QUANTUM SIMULATIONS, INC.",,2005,100721,
1907,Accessible Artificial Intelligence Tutoring Software for Mathematics,NEI,8055353,5R44EY019414-03,5,R44,EY,19414,3,,,7977096,"JOHNSON, BENNY G",Not Applicable,"QUANTUM SIMULATIONS, INC.",,Population analysis of shape representation in V4,NEI,7483599
1908,Accessible Artificial Intelligence Tutoring Software for Mathematics,NEI,8043275,4R44EY019414-02,4,R44,EY,19414,2,,,7977096,"JOHNSON, BENNY G",Not Applicable,"QUANTUM SIMULATIONS, INC.",,2010,394165,
1909,Accessible Artificial Intelligence Tutoring Software for Mathematics,NEI,7608855,1R44EY019414-01,1,R44,EY,19414,1,,,7977096,"JOHNSON, BENNY G",Not Applicable,"QUANTUM SIMULATIONS, INC.",,2009,164486,
1910,Applying Usability to A Knowledge Based System,NLM,6538226,5F38LM007188-02,5,F38,LM,7188,2,,,7355516,"JOHNSON, CONSTANCE ",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,,2002,66954,
1911,Applying Usability to A Knowledge Based System,NLM,6340157,1F38LM007188-01,1,F38,LM,7188,1,,,7355516,"JOHNSON, CONSTANCE ",Not Applicable,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,,2001,68753,
1912,Cognitive and Molecular Challenges to Statistical Inference Across Healthy Aging.,NIA,10005106,5R00AG054732-04,5,R00,AG,54732,4,,,9509668,"NASSAR, MATTHEW ",Not Applicable,BROWN UNIVERSITY,,2020,248038,Accelerating Site-specific Characterization of Protein Therapeutics with Novel Machine Learning Methods
1913,MATURATIONAL CHANGE IN LANGUAGE ACQUISITION CAPACITY,NICHD,2203131,5R01HD030785-02,5,R01,HD,30785,2,,,1896288,"JOHNSON, JACQUELINE ANNE",Not Applicable,UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,,1995,110846,
1914,Cognitive and Molecular Challenges to Statistical Inference Across Healthy Aging.,NIA,9991267,4R00AG054732-03,4,R00,AG,54732,3,,,9509668,"NASSAR, MATTHEW ",Not Applicable,BROWN UNIVERSITY,,2019,248994,MATURATIONAL CHANGE IN LANGUAGE ACQUISITION CAPACITY
1915,,,,,,,,,,,,,,,,,,,
1916,SPIKE SORTER,NINDS,3846390,5P01NS007226-20,5,P01,NS,7226,20,,1,3323896,"JOHNSON, KENNETH O",Not Applicable,JOHNS HOPKINS UNIVERSITY,,1992,,
1917,SPIKE SORTER,NINDS,3860965,2P01NS007226-19A2,2,P01,NS,7226,19,A2,1,3323896,"JOHNSON, KENNETH O",Not Applicable,JOHNS HOPKINS UNIVERSITY,,1991,Developing and validating prognostic metabolomic signatures of diabetic kidney disease,NIDDK
1918,Development of a High-Throughput Three-Dimensional H&E Platform for the Characterization of Breast Cancer Biopsies,NCI,9812203,3R43CA228878-01S1,3,R43,CA,228878,1,S1,,14402392,"JOHNSON, MICHAEL T",Not Applicable,"VISIKOL, INC.",,2019,55000,
1919,Developing and validating prognostic metabolomic signatures of diabetic kidney disease,NIDDK,9418599,5R01DK110541-02,5,R01,DK,110541,2,,,8205977,"NATARAJAN, LOKI ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2018,336980,Automated Assessment of Neurodevelopment in Infants at Risk for Motor Disability
1920,Automated Quantitation of 3D Echocardiograms,NHLBI,6622226,5R44HL059054-03,5,R44,HL,59054,3,,,8036863,"JOHNSON, RICHARD K",Not Applicable,"QUANTIGRAPHICS, INC.",,2003,244092,
1921,Automated Quantitation of 3D Echocardiograms,NHLBI,6443269,2R44HL059054-02A2,2,R44,HL,59054,2,A2,,8036863,"JOHNSON, RICHARD K",Not Applicable,"QUANTIGRAPHICS, INC.",,2002,255191,
1922,Novel computational techniques to detect the relationship between sitting patterns and metabolic syndrome in existing cohort studies.,NIDDK,9778822,5R01DK114945-02,5,R01,DK,114945,2,,,8205977,"NATARAJAN, LOKI ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2019,660041,COMPUTER AIDED CARDIAC MEASUREMENT
1923,Novel computational techniques to detect the relationship between sitting patterns and metabolic syndrome in existing cohort studies.,NIDDK,9524533,1R01DK114945-01A1,1,R01,DK,114945,1,A1,,8205977,"NATARAJAN, LOKI ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,2018,712358,WEIGHT MANAGEMENT EXPERT SYSTEMS FOR DIABETES
1924,Understanding modifiers of mendelian mutation penetrance using familial hypercholesterolemia as a model,NHLBI,9609507,5K08HL140203-02,5,K08,HL,140203,2,,,11848064,"NATARAJAN, PRADEEP ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2019,170003,AN EXPERT SYSTEM TO IMPROVE MEDICATION ADHERENCE
1925,455669,,,,,,,,,,,,,,,,,,
1926,Understanding modifiers of mendelian mutation penetrance using familial hypercholesterolemia as a model,NHLBI,9431712,1K08HL140203-01,1,K08,HL,140203,1,,,11848064,"NATARAJAN, PRADEEP ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2018,173296,AN EXPERT SYSTEM TO IMPROVE MEDICATION ADHERENCE
1927,AN EXPERT SYSTEM TO IMPROVE MEDICATION ADHERENCE,NHLBI,6014675,1R44HL063481-01,1,R44,HL,63481,1,,,6065521,"JOHNSON, SARA S",Not Applicable,"PRO-CHANGE BEHAVIOR SYSTEMS, INC.",,1999,21734,
1928,Individualized Expert Systems for Weight Management,NHLBI,6859455,5R44HL070549-04,5,R44,HL,70549,4,,,6065521,"JOHNSON, SARA S",Not Applicable,"PRO-CHANGE BEHAVIOR SYSTEMS, INC.",,2005,207836,
1929,Individualized Expert Systems for Weight Management,NHLBI,6734209,5R44HL070549-03,5,R44,HL,70549,3,,,6065521,"JOHNSON, SARA S",Not Applicable,"PRO-CHANGE BEHAVIOR SYSTEMS, INC.",,2004,315359,
1930,Individualized Expert Systems for Weight Management,NHLBI,6651486,4R44HL070549-02,4,R44,HL,70549,2,,,6065521,"JOHNSON, SARA S",Not Applicable,"PRO-CHANGE BEHAVIOR SYSTEMS, INC.",,2003,Core C: Immune bioinformatics and biostatistics,NCI
1931,Individualized Expert Systems for Weight Management,NHLBI,6337676,1R44HL070549-01,1,R44,HL,70549,1,,,6065521,"JOHNSON, SARA S",Not Applicable,"PRO-CHANGE BEHAVIOR SYSTEMS, INC.",,2002,123350,
1932,Segmenting High-Need; High-Cost Veterans into Potentially Actionable Subgroups,VA,10176376,5I21HX002564-02,5,I21,VA,2564,2,,,8805658,"NAVATHE, AMOL S",Not Applicable,PHILADELPHIA VA MEDICAL CENTER,,2020,,
1933,Segmenting High-Need; High-Cost Veterans into Potentially Actionable Subgroups,VA,9613608,1I21HX002564-01A1,1,I21,VA,2564,1,A1,,8805658,"NAVATHE, AMOL S",Not Applicable,PHILADELPHIA VA MEDICAL CENTER,,2019,,
1934,SCH: Wireless battery-less smart sensing and analytic with application to wound assessment ,NIBIB,9789885,5R01EB028104-02,5,R01,EB,28104,2,,,14281057,"JOHNSTON, MATTHEW L",Not Applicable,OREGON STATE UNIVERSITY,,2019,267358,
1935,EXEMPLAR-BASED MEDICAL TEXT CLASSIFICATION,NCI,2429835,5R44CA065250-03,5,R44,CA,65250,3,,,1891516,"JOHNSTON, MICHAEL F",Not Applicable,"BELMONT RESEARCH, INC.",,1997,387794,
1936,Synapse Elimination during Development: Pruning Rates; Models; and Diseases,NIMH,8722888,5F32MH099784-02,5,F32,MH,99784,2,,,10885458,"NAVLAKHA, SAKET ",Not Applicable,CARNEGIE-MELLON UNIVERSITY,,2014,8990,SOFTWARE TO MEASURE OVARIAN FOLLICLES FROM SONOGRAPHY
1937,52190,Clinical Protocol; Data Management and Informatics Shared Resource,NCI,8723079,5P30CA118100-10,5,P30,CA,118100,10,,6328,10722550,"JONES, DEBBIE ",Not Applicable,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,,2014,
1938,Quantitative Modeling Software with Applications to Medical Decision Making,NLM,9774898,1R43LM013133-01A1,1,R43,LM,13133,1,A1,,9395361,"NAYAK, SMITA ",Not Applicable,"BERKELEY MADONNA, INC.",,2019,326600,Clinical Protocol; Data Management and Informatics Shared Resource
1939,Clinical Protocol; Data Management and Informatics Shared Resource,NCI,8545088,5P30CA118100-09,5,P30,CA,118100,9,,6328,10722550,"JONES, DEBBIE ",Not Applicable,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,,2013,,148691
1940,Research Education in Statistical Genetics of Substance Abuse,NIDA,8305142,5R25DA026119-05,5,R25,DA,26119,5,,,1957642,"NEALE, MICHAEL CHURTON",Not Applicable,VIRGINIA COMMONWEALTH UNIVERSITY,,2012,379949,Clinical Protocol; Data Management and Informatics Shared Resource
1941,Clinical Protocol; Data Management and Informatics Shared Resource,MEMBERSHIP IN THE MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NLM,8545085,3P30CA118100-08S1,6152295,3,P30,CA,118100,8,S1,N01LM073531-003,6328,,N01,LM,,
1942,,159192,,,,,,,,,,,,,,,,,
1943,125000,Clinical Protocol; Data Management and Informatics Shared Resource,NCI,8324262,5P30CA118100-07,5,P30,CA,118100,7,,6328,10722550,"JONES, DEBBIE ",Not Applicable,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,,2011,
1944,MEMBERSHIP IN THE MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NLM,2664248,N01LM073531-000,,N01,LM,,,,,6354304,"NEGROPONK, NICHOLAS ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,1997,125000,Clinical Protocol; Data Management and Informatics Shared Resource
1945,VOICEACTIVATED COMP SYS FOR CLN TRIALS IN HYPERTENSION,NHLBI,3502168,1R43HL047965-01,1,R43,HL,47965,1,,,8074265,"JONES, JUDITH K",Not Applicable,"DEGGE GROUP, LTD.",,1992,49579,
